index,x,y,speed,angle,action
0,"1401,2729868474503","95,68662353296372",1,"136,63657704161673","[0.0, 0.0, 0.21191867375194365, 0.0]"
1,"1400,437787733035","96,23657120254688",1,"146,63657704161673","[0.0, 0.0, 0.0]"
2,"1399,6025886186198","96,78651887213005",1,"146,63657704161673","[0.0, 0.0, 1.0, 0.0]"
3,"1398,6845806447996","97,18308079667918",1,"156,63657704161673","[0.0, 0.0, 0.0]"
4,"1397,7665726709793","97,57964272122831",1,"156,63657704161673","[0.0, 0.0, 1.0, 0.0]"
5,"1396,7936490455038","97,81076956733614",1,"166,63657704161673","[0.0, 0.0, 0.0]"
6,"1395,8207254200283","98,04189641344396",1,"166,63657704161673","[0.0, 0.0, 1.0, 0.0]"
7,"1394,8224479349349","98,10056550884747",1,"176,63657704161673","[0.0, 0.0, 0.0]"
8,"1393,8241704498414","98,15923460425097",1,"176,63657704161673","[0.0, 0.0, 1.0, 0.0]"
9,"1392,8308712613616","98,04366331817414",1,"186,63657704161673","[0.0, 0.0, 0.0]"
10,"1391,8375720728818","97,92809203209731",1,"186,63657704161673","[0.0, 0.0, 0.9999999999925682, 0.0]"
11,"1390,879432074224","97,64179193958557",1,"196,63657704161673","[0.0, 0.0, 0.0]"
12,"1389,9212920755663","97,35549184707384",1,"196,63657704161673","[0.0, 0.0, 0.9999999836409554, 0.0]"
13,"1389,0274238657476","96,90716203156353",1,"206,63657704161673","[0.0, 0.0, 0.0]"
14,"1388,1335556559288","96,45883221605322",1,"206,63657704161673","[0.0, 0.0, 0.999999232485864, 0.0]"
15,"1387,3311189681854","95,86209495212279",1,"216,63657704161673","[0.0, 0.0, 0.0]"
