car,time,circuit,goals_crossed,racing_line
8,0.20800000000000196,1.0,0.0,"[[1096.2108685738942, 1289.5632605721682, 5, 163.30075576600638, [0.0, 0.0, 0.9092231097907626, 0.9298553332914004]], [1091.743981998696, 1287.3167244998306, 5, 153.30075576600638, [0.0, 5.515087533176013, 1.897398195014791, -16.11809565095832]], [1087.7350643626392, 1284.3286516447429, 5, 143.30075576600638, [0.0, 1.897398195014791, -16.11809565095832]], [1084.305924599485, 1280.689833088569, 5, 133.30075576600638, [0.0, 1.897398195014791, -16.11809565095832]], [1081.5607553857085, 1276.5108324918074, 5, 123.30075576600638, [0.0, 1.897398195014791, -16.11809565095832]], [1079.5829672987477, 1271.9186266729143, 5, 113.30075576600638, [0.0, 1.897398195014791, -16.11809565095832]]]"
10,0.20800000000000196,1.0,0.0,"[[1096.2108685738942, 1289.5632605721682, 5, 163.30075576600638, [0.0, 0.0, 0.49614188228536, 0.8182041650998862]], [1091.743981998696, 1287.3167244998306, 5, 153.30075576600638, [0.0, 1.352651997354693, 8.862653667158871e-05]], [1083.7035861633392, 1283.2729595696228, 9, 153.30075576600638, [0.0, 1.352651997354693, 8.862653667158871e-05, 13.553511143856717]], [1076.487534418437, 1277.8944284304648, 9, 143.30075576600638, [0.0, 1.352651997354693, 8.862653667158871e-05]], [1066.0643485646892, 1270.1254390072365, 13, 143.30075576600638, [0.0, 0.45207455724928924, 0.0017783519366602397, 9.451248469936216]], [1057.1485851804885, 1260.6645107611844, 13, 133.30075576600638, [0.0, 1.1880171347282882, 0.00015338114295899034]]]"
13,0.20800000000000196,1.0,0.0,"[[1096.2108685738942, 1289.5632605721682, 5, 163.30075576600638, [0.0, 0.40289588321277353, 0.21293255477377393, 1.3977790699094885]], [1091.743981998696, 1287.3167244998306, 5, 153.30075576600638, [0.0, 0.40293860591823477, 0.21213810220411225]], [1083.7035861633392, 1283.2729595696228, 9, 153.30075576600638, [0.0, 0.40293860591823477, 0.21213810220411225, 1.404119405551967]], [1076.487534418437, 1277.8944284304648, 9, 143.30075576600638, [0.0, 0.40293860591823477, 0.21213810220411225]], [1066.0643485646892, 1270.1254390072365, 13, 143.30075576600638, [0.0, 0.40293860591823477, 0.21213810220411225, 1.404119405551967]], [1057.1485851804885, 1260.6645107611844, 13, 133.30075576600638, [0.0, 0.40293860591823477, 0.21213810220411225]]]"
38,0.20800000000000196,1.0,0.0,"[[1096.2108685738942, 1289.5632605721682, 5, 163.30075576600638, [0.0, 0.0, 0.0, 5.450319598871573e-11]], [1091.2450076318457, 1288.979972389332, 5, 173.30075576600638, [0.0, 0.0, 0.0]], [1082.3064579361583, 1287.9300536602266, 9, 173.30075576600638, [0.0, 0.0, 0.0, 7.902762784127649e-26]], [1073.321388421153, 1288.4482484214122, 9, 183.30075576600638, [0.0, 0.0, 0.0]], [1060.3429546772563, 1289.1967519653472, 13, 183.30075576600638, [0.0, 0.0, 0.0, 7.902762784127649e-26]], [1047.6916687806931, 1292.18756542717, 13, 193.30075576600638, [0.0, 0.0, 0.0]]]"
50,0.20800000000000196,1.0,0.0,"[[1100.0068278115903, 1290.8833423634328, 1, 173.30075576600638, [0.8826142489635129, -0.9999910100226296, 0.0, 0.8705366560905378]], [1095.0409668695418, 1290.3000541805966, 5, 173.30075576600638, [0.8577210305948998, -0.9999754238784282, 0.0, 0.9999456901249224]], [1090.0492615834276, 1290.587940159033, 5, 183.30075576600638, [0.8577210305948998, -0.9999754238784282, 0.0]], [1081.0641920684222, 1291.1061349202187, 9, 183.30075576600638, [0.8577210305948998, -0.9999754238784282, 0.0, 0.9999456901249224]], [1072.3056095246477, 1293.1766980860962, 9, 193.30075576600638, [0.8577210305948998, -0.9999754238784282, 0.0]], [1059.6543236280845, 1296.167511547919, 13, 193.30075576600638, [0.8577210305948998, -0.9999754238784282, 0.0, 0.9999456901249224]]]"
56,0.20800000000000196,1.0,0.0,"[[1096.2108685738942, 1289.5632605721682, 5, 163.30075576600638, [0.0, 0.6678024247190795, 0.9999310854957492, 1.931593666058006]], [1091.743981998696, 1287.3167244998306, 5, 153.30075576600638, [0.0, 5.378514727555915e-22, 7.902762784127649e-26]], [1083.7035861633392, 1283.2729595696228, 9, 153.30075576600638, [0.0, 7.646476512953012e-15, 7.902762784127649e-26, 1.2241626050098533]], [1076.487534418437, 1277.8944284304648, 9, 143.30075576600638, [0.0, 7.221974047418174e-15, 7.902762784127649e-26]], [1066.0643485646892, 1270.1254390072365, 13, 143.30075576600638, [0.0, 5.0415665496200565e-17, 7.902762784127649e-26, 1.2241626050098533]], [1057.1485851804885, 1260.6645107611844, 13, 133.30075576600638, [0.0, 3.097013952730671e-19, 7.902762784127649e-26]]]"
60,0.20800000000000196,1.0,0.0,"[[1096.2108685738942, 1289.5632605721682, 5, 163.30075576600638, [0.2612428753502356, 0.0, -0.9999758807514642, 0.999822329961605]], [1091.2450076318457, 1288.979972389332, 5, 173.30075576600638, [0.0, 0.0, -0.9990024526465627]], [1082.3064579361583, 1287.9300536602266, 9, 173.30075576600638, [0.0, 0.0, -0.9990024526465627, 0.9993691633419016]], [1073.321388421153, 1288.4482484214122, 9, 183.30075576600638, [0.0, 0.0, -0.9990024526465627]], [1060.3429546772563, 1289.1967519653472, 13, 183.30075576600638, [0.0, 0.0, -0.9990024526465627, 0.9993691633419016]], [1047.6916687806931, 1292.18756542717, 13, 193.30075576600638, [0.0, 0.0, -0.9990024526465627]]]"
67,0.20800000000000196,1.0,0.0,"[[1096.2108685738942, 1289.5632605721682, 5, 163.30075576600638, [-16.11809565095832, 0.9999969295226584, 0.0, 0.9999999999972756]], [1091.743981998696, 1287.3167244998306, 5, 153.30075576600638, [-16.11809565095832, 0.9999969295226584, 0.0]], [1083.7035861633392, 1283.2729595696228, 9, 153.30075576600638, [-16.11809565095832, 0.9999969295226584, 0.0, 0.9999999999972756]], [1076.487534418437, 1277.8944284304648, 9, 143.30075576600638, [-16.11809565095832, 0.9999969295226584, 0.0]], [1066.0643485646892, 1270.1254390072365, 13, 143.30075576600638, [-16.11809565095832, 0.9999969295226584, 0.0, 0.9999999999972756]], [1057.1485851804885, 1260.6645107611844, 13, 133.30075576600638, [-16.11809565095832, 0.9999969295226584, 0.0]]]"
70,0.20800000000000196,1.0,0.0,"[[1100.0068278115903, 1290.8833423634328, 1, 173.30075576600638, [2.4117721205492693, -0.33643584318132363, 0.9243218766463378, 0.0]], [1095.0409668695418, 1290.3000541805966, 5, 173.30075576600638, [0.0, -16.11809565095832, 0.0, 5.941140254490235]], [1090.0492615834276, 1290.587940159033, 5, 183.30075576600638, [0.0, -16.11809565095832, 0.0]], [1081.0641920684222, 1291.1061349202187, 9, 183.30075576600638, [0.0, -16.11809565095832, 0.0, 4.136614462039232]], [1072.3056095246477, 1293.1766980860962, 9, 193.30075576600638, [0.0, -16.11809565095832, 0.0]], [1059.6543236280845, 1296.167511547919, 13, 193.30075576600638, [0.0, -16.11809565095832, 0.0, 5.223647536548093]]]"
41,0.2839999999999989,1.0,0.0,"[[1100.0068278115903, 1290.8833423634328, 1, 173.30075576600638, [0.9520110340745106, 0.041468948399757594, -0.9571059283958817, 0.8892808452641829]], [1095.0409668695418, 1290.3000541805966, 5, 173.30075576600638, [-1.0, 0.0, -0.6636542070805752, 1.0]], [1090.251835443436, 1288.8633147527648, 5, 163.30075576600638, [-1.0, 0.0, -0.9996103241358986]], [1081.6313988764457, 1286.2771837826676, 9, 163.30075576600638, [-1.0, 0.0, -0.6636542070805752, 1.0]], [1073.591003041089, 1282.2334188524599, 9, 153.30075576600638, [-1.0, 0.0, -0.6636542070805752]], [1061.9770979455736, 1276.3924250643818, 13, 153.30075576600638, [-0.9999999999999999, 0.0, -0.9999640704981492, 0.9999999990570938]], [1051.5539120918259, 1268.6234356411535, 13, 143.30075576600638, [-0.9999999999981704, 0.0, -0.9999998432520489]], [1037.9235921292327, 1258.463987933855, 17, 143.30075576600638, [-0.9999997134288896, 0.0, -0.999999999951381, 0.3800990677270447]]]"
