driverId,code,number,name,picture
822,BOT,77,Valtteri Bottas,//upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Valtteri_Bottas_at_the_2022_Austrian_Grand_Prix.jpg/220px-Valtteri_Bottas_at_the_2022_Austrian_Grand_Prix.jpg
828,ERI,9,Marcus Ericsson,//upload.wikimedia.org/wikipedia/commons/thumb/8/87/Marcus_Ericsson_in_2023.jpg/220px-Marcus_Ericsson_in_2023.jpg
830,VER,33,Max Verstappen,//upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Max_Verstappen_2017_Malaysia_3_%28cropped%29.jpg/220px-Max_Verstappen_2017_Malaysia_3_%28cropped%29.jpg
832,SAI,55,Carlos Sainz,//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Formula1Gabelhofen2022_%2804%29_%28cropped%29.jpg/250px-Formula1Gabelhofen2022_%2804%29_%28cropped%29.jpg
833,MER,98,Roberto Merhi,//upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Roberto_Merhi_Austria_2022.jpg/220px-Roberto_Merhi_Austria_2022.jpg
837,HAR,88,Rio Haryanto,//upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Rio_Haryanto_2016_paddock.jpg/220px-Rio_Haryanto_2016_paddock.jpg
844,LEC,16,Charles Leclerc,//upload.wikimedia.org/wikipedia/commons/thumb/9/91/Charles-Leclerc_%28cropped_1%29.jpg/220px-Charles-Leclerc_%28cropped_1%29.jpg
846,NOR,4,Lando Norris,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Lando_Norris%2C_British_GP_2022_%2852382611003%29_%28cropped%29.jpg/220px-Lando_Norris%2C_British_GP_2022_%2852382611003%29_%28cropped%29.jpg
849,LAT,6,Nicholas Latifi,//upload.wikimedia.org/wikipedia/commons/thumb/7/74/Nicholas_Latifi_at_Singapore_in_2022.jpg/220px-Nicholas_Latifi_at_Singapore_in_2022.jpg
852,TSU,22,Yuki Tsunoda,//upload.wikimedia.org/wikipedia/commons/thumb/e/eb/2021_US_GP%2C_Tsunoda.jpg/220px-2021_US_GP%2C_Tsunoda.jpg
853,MAZ,9,Nikita Mazepin,//upload.wikimedia.org/wikipedia/commons/thumb/e/e8/%D0%9D%D0%B8%D0%BA%D0%B8%D1%82%D0%B0_%D0%9C%D0%B0%D0%B7%D0%B5%D0%BF%D0%B8%D0%BD_-_%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B2%D1%8C%D1%8E_-_2019%2C_02.jpg/200px-%D0%9D%D0%B8%D0%BA%D0%B8%D1%82%D0%B0_%D0%9C%D0%B0%D0%B7%D0%B5%D0%BF%D0%B8%D0%BD_-_%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B2%D1%8C%D1%8E_-_2019%2C_02.jpg
858,SAR,2,Logan Sargeant,//upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Logan_Sargeant_Austria_2022.jpg/220px-Logan_Sargeant_Austria_2022.jpg
