generation,car,x,y
,3,849.3185165257813,925.1763809020504
,3,866.63902460147,935.1763809020504
,3,880.781160225201,949.3185165257813
,3,890.781160225201,966.63902460147
,7,849.3185165257813,925.1763809020504
,7,866.63902460147,935.1763809020504
,7,880.781160225201,949.3185165257813
,7,890.781160225201,966.63902460147
,1,849.3185165257813,925.1763809020504
,1,866.63902460147,935.1763809020504
,1,880.781160225201,949.3185165257813
,1,892.0948687241857,960.6322250247661
,1,904.115684004357,972.6530403049373
,11,850.0,920.0
,11,869.3185165257813,914.8236190979496
,11,886.63902460147,904.8236190979496
,11,900.781160225201,890.6814834742187
,11,910.781160225201,873.36097539853
,0,849.3185165257813,925.1763809020504
,0,869.3185165257813,925.1763809020504
,0,888.6370330515626,920.0
,0,905.9575411272514,910.0
,0,920.0996767509823,895.857864376269
,0,930.0996767509823,878.5373563005803
,19,849.3185165257813,925.1763809020504
,19,869.3185165257813,925.1763809020504
,19,888.6370330515626,920.0
,19,905.9575411272514,910.0
,19,920.0996767509823,895.857864376269
,19,930.0996767509823,878.5373563005803
,13,849.3185165257813,925.1763809020504
,13,869.6029588778517,930.6115808492033
,13,890.8533270562112,936.3055998414587
,13,913.0696210608598,942.2584378788167
,13,936.2518408917974,948.4700949612773
,13,960.3999865490241,954.9405710888402
,13,985.5140580325399,961.6698662615057
,13,1011.5940553423447,968.6579804792738
,16,849.3185165257813,914.8236190979496
,16,869.6029588778517,909.3884191507967
,16,890.8533270562112,903.6944001585413
,16,913.0696210608598,897.7415621211833
,16,936.2518408917974,891.5299050387227
,16,960.3999865490241,885.0594289111598
,16,985.5140580325399,878.3301337384943
,16,1011.5940553423447,871.3420195207262
,22,849.3185165257813,914.8236190979496
,22,869.6029588778517,909.3884191507967
,22,890.8533270562112,903.6944001585413
,22,913.0696210608598,897.7415621211833
,22,936.2518408917974,891.5299050387227
,22,960.3999865490241,885.0594289111598
,22,985.5140580325399,878.3301337384943
,22,1011.5940553423447,871.3420195207262
,26,849.3185165257813,925.1763809020504
,26,869.6029588778517,930.6115808492033
,26,890.8533270562112,936.3055998414587
,26,913.0696210608598,942.2584378788167
,26,936.2518408917974,948.4700949612773
,26,960.3999865490241,954.9405710888402
,26,985.5140580325399,961.6698662615057
,26,1011.5940553423447,968.6579804792738
,28,849.3185165257813,914.8236190979496
,28,869.6029588778517,909.3884191507967
,28,890.8533270562112,903.6944001585413
,28,913.0696210608598,897.7415621211833
,28,936.2518408917974,891.5299050387227
,28,960.3999865490241,885.0594289111598
,28,985.5140580325399,878.3301337384943
,28,1011.5940553423447,871.3420195207262
,21,849.3185165257813,925.1763809020504
,21,869.3185165257813,925.1763809020504
,21,888.6370330515626,920.0
,21,905.9575411272514,910.0
,21,919.8139475878024,902.0
,21,930.2062524332157,896.0
,21,940.598557278629,890.0
,21,950.9908621240422,884.0
,21,961.3831669694555,878.0
,21,971.7754718148688,872.0
,2,850.0,920.0
,2,869.3185165257813,914.8236190979496
,2,886.63902460147,904.8236190979496
,2,905.9575411272514,899.6472381958993
,2,925.9575411272514,899.6472381958993
,2,945.2760576530327,894.4708572938489
,2,962.5965657287214,884.4708572938489
,2,981.9150822545027,879.2944763917985
,2,1001.9150822545027,879.2944763917985
,2,1021.2335987802841,874.1180954897482
,2,1038.5541068559728,864.1180954897482
,4,849.3185165257813,925.1763809020504
,4,864.7733297464064,929.3174856236907
,4,876.3644396618752,932.423314164921
,4,887.955549577344,935.5291427061512
,4,899.5466594928128,938.6349712473815
,4,911.1377694082815,941.7407997886118
,4,922.7288793237503,944.846628329842
,4,934.3199892392191,947.9524568710723
,4,945.9110991546879,951.0582854123026
,4,957.5022090701567,954.1641139535328
,4,969.0933189856255,957.2699424947631
,4,980.6844289010943,960.3757710359934
,4,992.2755388165631,963.4815995772236
,9,849.3185165257813,925.1763809020504
,9,869.6029588778517,930.6115808492033
,9,890.8533270562112,936.3055998414587
,9,908.2399919294145,940.9643426533041
,9,921.7629534974615,944.5878092847394
,9,931.4222117603522,947.1759997357645
,9,941.0814700232429,949.7641901867897
,9,950.7407282861336,952.3523806378149
,9,960.3999865490243,954.9405710888401
,9,970.059244811915,957.5287615398653
,9,979.7185030748058,960.1169519908905
,9,989.3777613376965,962.7051424419157
,9,999.0370196005872,965.2933328929408
,10,849.3185165257813,925.1763809020504
,10,864.7733297464064,929.3174856236907
,10,876.3644396618752,932.423314164921
,10,887.955549577344,935.5291427061512
,10,899.5466594928128,938.6349712473815
,10,911.1377694082815,941.7407997886118
,10,922.7288793237503,944.846628329842
,10,934.3199892392191,947.9524568710723
,10,945.9110991546879,951.0582854123026
,10,957.5022090701567,954.1641139535328
,10,969.0933189856255,957.2699424947631
,10,980.6844289010943,960.3757710359934
,10,992.2755388165631,963.4815995772236
,12,849.3185165257813,925.1763809020504
,12,864.7733297464064,929.3174856236907
,12,876.3644396618752,932.423314164921
,12,887.955549577344,935.5291427061512
,12,899.5466594928128,938.6349712473815
,12,911.1377694082815,941.7407997886118
,12,922.7288793237503,944.846628329842
,12,934.3199892392191,947.9524568710723
,12,945.9110991546879,951.0582854123026
,12,957.5022090701567,954.1641139535328
,12,969.0933189856255,957.2699424947631
,12,980.6844289010943,960.3757710359934
,12,992.2755388165631,963.4815995772236
,14,849.3185165257813,914.8236190979496
,14,864.7733297464064,910.6825143763093
,14,876.3644396618752,907.576685835079
,14,887.955549577344,904.4708572938488
,14,899.5466594928128,901.3650287526185
,14,911.1377694082815,898.2592002113882
,14,922.7288793237503,895.153371670158
,14,934.3199892392191,892.0475431289277
,14,945.9110991546879,888.9417145876974
,14,957.5022090701567,885.8358860464672
,14,969.0933189856255,882.7300575052369
,14,980.6844289010943,879.6242289640066
,14,992.2755388165631,876.5184004227764
,14,1003.8666487320319,873.4125718815461
,15,849.3185165257813,925.1763809020504
,15,869.6029588778517,930.6115808492033
,15,890.8533270562112,936.3055998414587
,15,913.0696210608598,942.2584378788167
,15,936.2518408917974,948.4700949612773
,15,960.2518408917974,948.4700949612773
,15,985.2518408917974,948.4700949612773
,15,1009.3999865490241,941.9996188337143
,15,1034.5140580325399,935.2703236610488
,15,1060.5940553423447,928.2822094432807
,15,1087.6399784784387,921.0352761804102
,15,1115.6518274408218,913.529523872437
,15,1144.629602229494,905.7649525193614
,15,1174.573302844455,897.7415621211833
,23,849.3185165257813,914.8236190979496
,23,864.7733297464064,910.6825143763093
,23,876.3644396618752,907.576685835079
,23,887.955549577344,904.4708572938488
,23,899.5466594928128,901.3650287526185
,23,911.1377694082815,898.2592002113882
,23,922.7288793237503,895.153371670158
,23,934.3199892392191,892.0475431289277
,23,945.9110991546879,888.9417145876974
,23,957.5022090701567,885.8358860464672
,23,969.0933189856255,882.7300575052369
,23,980.6844289010943,879.6242289640066
,23,992.2755388165631,876.5184004227764
,23,1003.8666487320319,873.4125718815461
,18,850.0,920.0
,18,869.3185165257813,925.1763809020504
,18,889.6029588778517,930.6115808492033
,18,910.8533270562112,936.3055998414587
,18,933.0696210608598,942.2584378788167
,18,956.0696210608598,942.2584378788167
,18,980.0696210608598,942.2584378788167
,18,1005.0696210608598,942.2584378788167
,18,1029.2177667180865,935.7879617512538
,18,1054.3318382016023,929.0586665785883
,18,1076.8484986999977,916.0586665785883
,18,1101.9625701835134,909.3293714059228
,18,1128.0425674933183,902.3412571881547
,18,1155.0884906294123,895.0943239252841
,18,1183.1003395917953,887.588571617311
,5,850.0,920.0
,5,866.0,920.0
,5,878.0,920.0
,5,890.0,920.0
,5,902.0,920.0
,5,914.0,920.0
,5,926.0,920.0
,5,937.5911099154688,923.1058285412303
,5,949.1822198309376,926.2116570824605
,5,960.7733297464064,929.3174856236908
,5,972.3644396618752,932.4233141649211
,5,983.955549577344,935.5291427061513
,5,995.5466594928128,938.6349712473816
,5,1007.1377694082815,941.7407997886119
,5,1018.7288793237503,944.8466283298421
,5,1030.3199892392192,947.9524568710724
,5,1041.9110991546881,951.0582854123027
,5,1053.502209070157,954.1641139535329
,5,1065.093318985626,957.2699424947632
,17,850.0,920.0
,17,866.0,920.0
,17,878.0,920.0
,17,890.0,920.0
,17,902.0,920.0
,17,914.0,920.0
,17,926.0,920.0
,17,938.0,920.0
,17,950.0,920.0
,17,962.0,920.0
,17,974.0,920.0
,17,986.0,920.0
,17,998.0,920.0
,17,1010.0,920.0
,17,1022.0,920.0
,17,1034.0,920.0
,17,1046.0,920.0
,17,1058.0,920.0
,17,1070.0,920.0
,17,1082.0,920.0
,17,1094.0,920.0
,17,1106.0,920.0
,17,1118.0,920.0
,17,1130.0,920.0
,17,1142.0,920.0
,25,850.0,920.0
,25,866.0,920.0
,25,878.0,920.0
,25,890.0,920.0
,25,902.0,920.0
,25,914.0,920.0
,25,926.0,920.0
,25,938.0,920.0
,25,950.0,920.0
,25,962.0,920.0
,25,974.0,920.0
,25,986.0,920.0
,25,998.0,920.0
,25,1010.0,920.0
,25,1022.0,920.0
,25,1034.0,920.0
,25,1046.0,920.0
,25,1058.0,920.0
,25,1070.0,920.0
,25,1082.0,920.0
,25,1094.0,920.0
,25,1106.0,920.0
,25,1118.0,920.0
,25,1130.0,920.0
,25,1142.0,920.0
,27,849.3185165257813,914.8236190979496
,27,869.3185165257813,914.8236190979496
,27,888.6370330515626,920.0
,27,905.9575411272514,930.0
,27,925.2760576530327,935.1763809020504
,27,940.7308708736578,939.3174856236907
,27,956.7308708736578,939.3174856236907
,27,968.7308708736578,939.3174856236907
,27,980.7308708736578,939.3174856236907
,27,992.7308708736578,939.3174856236907
,27,1004.3219807891265,936.2116570824604
,27,1016.3219807891265,936.2116570824604
,27,1027.9130907045953,933.1058285412302
,27,1039.9130907045953,933.1058285412302
,27,1051.5042006200642,929.9999999999999
,27,1061.8965054654775,923.9999999999999
,27,1073.4876153809464,920.8941714587696
,27,1085.0787252964153,917.7883429175394
,27,1096.6698352118842,914.6825143763091
,27,1108.2609451273531,911.5766858350788
