car,racing_line
5,"[[849.3185165257813, 925.1763809020504], [869.6029588778517, 930.6115808492033], [890.8533270562112, 936.3055998414587], [913.0696210608598, 942.2584378788167]]"
9,"[[849.3185165257813, 925.1763809020504], [869.3185165257813, 925.1763809020504], [888.6370330515626, 930.3527618041007], [908.6370330515626, 930.3527618041007], [927.955549577344, 935.5291427061511], [947.955549577344, 935.5291427061511], [967.2740661031253, 940.7055236082015]]"
3,"[[850.0, 920.0], [869.3185165257813, 914.8236190979496], [886.63902460147, 904.8236190979496], [905.9575411272514, 899.6472381958993], [925.9575411272514, 899.6472381958993], [945.2760576530327, 904.8236190979496], [962.5965657287214, 914.8236190979496], [976.7387013524524, 928.9657547216806], [994.0592094281411, 938.9657547216806]]"
4,"[[849.3185165257813, 925.1763809020504], [869.3185165257813, 925.1763809020504], [888.6370330515626, 920.0], [905.9575411272514, 910.0], [925.2760576530327, 904.8236190979496], [942.5965657287214, 894.8236190979496], [961.9150822545027, 889.6472381958993], [979.2355903301915, 879.6472381958993], [998.5541068559728, 874.4708572938489], [1015.8746149316615, 864.4708572938489]]"
7,"[[850.0, 920.0], [871.0, 920.0], [893.0, 920.0], [916.0, 920.0], [940.0, 920.0], [965.0, 920.0], [991.0, 920.0], [1018.0, 920.0], [1046.0, 920.0], [1075.0, 920.0], [1105.0, 920.0]]"
1,"[[850.0, 920.0], [869.3185165257813, 914.8236190979496], [889.6029588778517, 909.3884191507967], [910.8533270562112, 903.6944001585413], [933.0696210608598, 897.7415621211833], [956.2518408917974, 891.5299050387227], [980.3999865490241, 885.0594289111598], [1005.5140580325399, 878.3301337384943], [1031.5940553423447, 871.3420195207262], [1058.6399784784387, 864.0950862578557], [1086.6518274408218, 856.5893339498825], [1115.629602229494, 848.8247625968069], [1145.573302844455, 840.8013721986288], [1172.4200903617725, 825.3013721986288], [1194.3404005785555, 803.3810619818457], [1221.1871880958731, 787.8810619818457], [1251.1308887108341, 779.8576715836676], [1282.1308887108341, 779.8576715836676]]"
6,"[[849.3185165257813, 925.1763809020504], [869.6029588778517, 930.6115808492033], [890.6029588778517, 930.6115808492033], [912.6029588778517, 930.6115808492033], [935.6029588778517, 930.6115808492033], [959.6029588778517, 930.6115808492033], [984.6029588778517, 930.6115808492033], [1010.6029588778517, 930.6115808492033], [1037.6029588778517, 930.6115808492033], [1063.6829561876566, 923.6234666314352], [1087.0656420898365, 910.1234666314352], [1111.3143533958007, 896.1234666314352], [1136.4290901055494, 881.6234666314352], [1162.4098522190825, 866.6234666314352], [1189.2566397364, 851.1234666314352], [1216.9694526575022, 835.1234666314352], [1239.5968696554717, 812.4960496334658], [1255.5968696554717, 784.7832367123638], [1263.8790790987523, 753.8736102711135]]"
2,"[[850.0, 920.0], [866.0, 920.0], [878.0, 920.0], [890.0, 920.0], [902.0, 920.0], [914.0, 920.0], [926.0, 920.0], [938.0, 920.0], [950.0, 920.0], [962.0, 920.0], [974.0, 920.0], [986.0, 920.0], [998.0, 920.0], [1010.0, 920.0], [1022.0, 920.0], [1034.0, 920.0], [1046.0, 920.0], [1058.0, 920.0], [1070.0, 920.0], [1082.0, 920.0]]"
8,"[[849.3185165257813, 925.1763809020504], [869.3185165257813, 925.1763809020504], [888.6370330515626, 920.0], [905.9575411272514, 910.0], [925.2760576530327, 904.8236190979496], [945.2760576530327, 904.8236190979496], [964.594574178814, 910.0], [984.594574178814, 910.0], [1003.9130907045953, 904.8236190979496], [1023.9130907045953, 904.8236190979496], [1043.2316072303768, 899.6472381958993], [1060.5521153060656, 889.6472381958993], [1079.870631831847, 884.4708572938489], [1097.191139907536, 874.4708572938489], [1111.3332755312667, 860.328721670118], [1128.6537836069556, 850.328721670118], [1147.972300132737, 845.1523407680676], [1165.2928082084259, 835.1523407680676], [1184.6113247342073, 829.9759598660172], [1204.6113247342073, 829.9759598660172], [1223.9298412599887, 835.1523407680676], [1241.2503493356776, 845.1523407680676], [1260.568865861459, 850.328721670118], [1277.8893739371479, 860.328721670118], [1292.031509560879, 874.4708572938489], [1302.031509560879, 891.7913653695376], [1316.17364518461, 905.9335009932686], [1333.4941532602988, 915.9335009932686], [1347.63628888403, 930.0756366169995], [1364.9567969597188, 940.0756366169995], [1384.2753134855002, 945.2520175190499], [1404.2753134855002, 945.2520175190499], [1423.5938300112816, 950.4283984211003], [1443.5938300112816, 950.4283984211003], [1462.912346537063, 945.2520175190499], [1480.232854612752, 935.2520175190499], [1499.5513711385333, 930.0756366169995], [1516.8718792142222, 920.0756366169995], [1531.014014837953, 905.9335009932686], [1541.014014837953, 888.6129929175798], [1555.1561504616839, 874.4708572938489], [1565.1561504616839, 857.1503492181602], [1570.3325313637342, 837.8318326923788], [1580.3325313637342, 820.5113246166901], [1585.5089122657846, 801.1928080909088], [1595.5089122657846, 783.87230001522], [1600.685293167835, 764.5537834894387], [1600.685293167835, 744.5537834894387], [1605.8616740698853, 725.2352669636574], [1605.8616740698853, 705.2352669636574], [1611.0380549719357, 685.9167504378761], [1611.0380549719357, 665.9167504378761], [1605.8616740698853, 646.5982339120948], [1605.8616740698853, 626.5982339120948], [1600.685293167835, 607.2797173863135], [1600.685293167835, 587.2797173863135], [1595.5089122657846, 567.9612008605321], [1585.5089122657846, 550.6406927848434], [1580.3325313637342, 531.3221762590621], [1570.3325313637342, 514.0016681833733], [1556.1903957400032, 499.8595325596424], [1538.8698876643143, 489.8595325596424], [1524.7277520405833, 475.71739693591144], [1507.4072439648944, 465.71739693591144], [1488.088727439113, 460.541016033861], [1470.7682193634241, 450.541016033861], [1451.4497028376427, 445.3646351318106], [1434.1291947619538, 435.3646351318106], [1414.8106782361724, 430.18825422976016], [1394.8106782361724, 430.18825422976016], [1375.492161710391, 435.3646351318106], [1355.492161710391, 435.3646351318106], [1336.1736451846095, 440.541016033861], [1316.1736451846095, 440.541016033861], [1296.855128658828, 445.71739693591144], [1276.855128658828, 445.71739693591144], [1257.5366121330467, 450.89377783796186], [1237.5366121330467, 450.89377783796186], [1218.2180956072652, 456.0701587400123], [1200.8975875315764, 466.0701587400123], [1186.7554519078456, 480.21229436374324], [1176.7554519078456, 497.53280243943203], [1171.5790710057952, 516.8513189652134], [1171.5790710057952, 536.8513189652134], [1176.7554519078456, 556.1698354909947], [1186.7554519078456, 573.4903435666835]]"
0,"[[849.3185165257813, 925.1763809020504], [869.3185165257813, 925.1763809020504], [888.6370330515626, 930.3527618041007], [908.6370330515626, 930.3527618041007], [927.955549577344, 935.5291427061511], [947.955549577344, 935.5291427061511], [967.2740661031253, 930.3527618041007], [987.2740661031253, 930.3527618041007], [1006.5925826289066, 925.1763809020504], [1026.5925826289067, 925.1763809020504], [1045.9110991546881, 920.0], [1063.231607230377, 910.0], [1082.5501237561584, 904.8236190979496], [1099.8706318318473, 894.8236190979496], [1114.0127674555781, 880.6814834742187], [1131.333275531267, 870.6814834742187], [1145.4754111549978, 856.5393478504877], [1162.7959192306866, 846.5393478504877], [1182.114435756468, 841.3629669484374], [1202.114435756468, 841.3629669484374], [1221.4329522822495, 846.5393478504877], [1238.7534603579384, 856.5393478504877], [1252.8955959816694, 870.6814834742187], [1262.8955959816694, 888.0019915499074], [1277.0377316054005, 902.1441271736384], [1294.3582396810893, 912.1441271736384], [1308.5003753048204, 926.2862627973693], [1325.8208833805093, 936.2862627973693], [1345.1393999062907, 941.4626436994197], [1362.4599079819795, 951.4626436994197], [1381.778424507761, 956.63902460147], [1401.778424507761, 956.63902460147], [1421.0969410335424, 961.8154055035204], [1441.0969410335424, 961.8154055035204], [1460.4154575593238, 956.63902460147], [1477.7359656350127, 946.63902460147], [1497.0544821607941, 941.4626436994197], [1514.374990236483, 931.4626436994197], [1528.5171258602138, 917.3205080756887], [1538.5171258602138, 900.0], [1552.6592614839446, 885.857864376269], [1562.6592614839446, 868.5373563005803], [1576.8013971076755, 854.3952206768494], [1586.8013971076755, 837.0747126011606], [1591.9777780097259, 817.7561960753793], [1601.9777780097259, 800.4356879996906], [1607.1541589117762, 781.1171714739093], [1617.1541589117762, 763.7966633982205], [1622.3305398138266, 744.4781468724392], [1622.3305398138266, 724.4781468724392], [1627.506920715877, 705.1596303466579], [1627.506920715877, 685.1596303466579], [1632.6833016179273, 665.8411138208766], [1632.6833016179273, 645.8411138208766], [1627.506920715877, 626.5225972950952], [1627.506920715877, 606.5225972950952], [1622.3305398138266, 587.2040807693139], [1612.3305398138266, 569.8835726936252], [1607.1541589117762, 550.5650561678439], [1597.1541589117762, 533.2445480921551], [1583.0120232880452, 519.1024124684242], [1573.0120232880452, 501.7819043927354], [1558.869887664314, 487.63976876900443], [1541.5493795886252, 477.63976876900443], [1527.4072439648942, 463.4976331452735], [1510.0867358892053, 453.4976331452735], [1490.768219363424, 448.32125224322306], [1473.447711287735, 438.32125224322306], [1454.1291947619536, 433.14487134117263], [1436.8086866862648, 423.14487134117263], [1417.4901701604833, 417.9684904391222], [1397.4901701604833, 417.9684904391222], [1378.171653634702, 412.7921095370718], [1358.171653634702, 412.7921095370718], [1338.8531371089205, 417.9684904391222], [1318.8531371089205, 417.9684904391222], [1299.534620583139, 423.14487134117263], [1279.534620583139, 423.14487134117263], [1260.2161040573576, 428.32125224322306], [1240.2161040573576, 428.32125224322306], [1220.8975875315762, 433.4976331452735], [1203.5770794558873, 443.4976331452735], [1189.4349438321565, 457.63976876900443], [1179.4349438321565, 474.9602768446932], [1174.258562930106, 494.2787933704746], [1174.258562930106, 514.2787933704747], [1179.4349438321565, 533.597309896256], [1189.4349438321565, 550.9178179719447], [1203.5770794558875, 565.0599535956757]]"
