generation,car,x,y
4,15,850.0,920.0
4,15,869.3185165257813,914.8236190979496
4,15,886.63902460147,904.8236190979496
4,15,900.781160225201,890.6814834742187
4,15,910.781160225201,873.36097539853
4,23,850.0,920.0
4,23,869.3185165257813,925.1763809020504
4,23,886.63902460147,935.1763809020504
4,23,900.781160225201,949.3185165257813
4,23,910.781160225201,966.63902460147
4,7,849.3185165257813,914.8236190979496
4,7,869.3185165257813,914.8236190979496
4,7,888.6370330515626,920.0
4,7,905.9575411272514,930.0
4,7,920.0996767509823,944.142135623731
4,7,930.0996767509823,961.4626436994197
4,10,849.3185165257813,914.8236190979496
4,10,869.6029588778517,909.3884191507967
4,10,890.8533270562112,903.6944001585413
4,10,913.0696210608598,897.7415621211833
4,10,932.988205347902,886.2415621211833
4,10,949.2516613151926,869.9781061538927
4,19,850.0,920.0
4,19,871.0,920.0
4,19,893.0,920.0
4,19,916.0,920.0
4,19,940.0,920.0
4,19,965.0,920.0
4,19,991.0,920.0
4,19,1018.0,920.0
4,19,1044.0799973098049,926.988114217768
4,19,1071.0799973098049,926.988114217768
4,19,1097.1599946196097,920.0
4,19,1124.1599946196097,920.0
4,19,1150.2399919294146,913.011885782232
4,16,849.3185165257813,914.8236190979496
4,16,864.7733297464064,910.6825143763093
4,16,876.3644396618752,907.576685835079
4,16,887.955549577344,904.4708572938488
4,16,899.5466594928128,901.3650287526185
4,16,911.1377694082815,898.2592002113882
4,16,922.7288793237503,895.153371670158
4,16,934.3199892392191,892.0475431289277
4,16,945.9110991546879,888.9417145876974
4,16,957.5022090701567,885.8358860464672
4,16,969.0933189856255,882.7300575052369
4,16,980.6844289010943,879.6242289640066
4,16,992.2755388165631,876.5184004227764
4,16,1003.8666487320319,873.4125718815461
4,26,849.3185165257813,914.8236190979496
4,26,864.7733297464064,910.6825143763093
4,26,876.3644396618752,907.576685835079
4,26,887.955549577344,904.4708572938488
4,26,899.5466594928128,901.3650287526185
4,26,911.1377694082815,898.2592002113882
4,26,922.7288793237503,895.153371670158
4,26,934.3199892392191,892.0475431289277
4,26,945.9110991546879,888.9417145876974
4,26,957.5022090701567,885.8358860464672
4,26,969.0933189856255,882.7300575052369
4,26,980.6844289010943,879.6242289640066
4,26,992.2755388165631,876.5184004227764
4,26,1003.8666487320319,873.4125718815461
4,28,849.3185165257813,925.1763809020504
4,28,869.6029588778517,930.6115808492033
4,28,890.8533270562112,936.3055998414587
4,28,913.0696210608598,942.2584378788167
4,28,936.2518408917974,948.4700949612773
4,28,960.2518408917974,948.4700949612773
4,28,985.2518408917974,948.4700949612773
4,28,1011.2518408917974,948.4700949612773
4,28,1036.3659123753132,941.7407997886118
4,28,1062.445909685118,934.7526855708437
4,28,1089.491832821212,927.5057523079731
4,28,1117.503681783595,920.0
4,28,1146.4814565722672,912.2354286469243
4,28,1176.4251571872283,904.2120382487462
4,20,850.0,920.0
4,20,869.3185165257813,925.1763809020504
4,20,886.63902460147,935.1763809020504
4,20,905.9575411272514,940.3527618041007
4,20,923.2780492029401,950.3527618041007
4,20,942.5965657287214,955.5291427061511
4,20,962.5965657287214,955.5291427061511
4,20,981.9150822545027,960.7055236082015
4,20,1001.9150822545027,960.7055236082015
4,20,1021.2335987802841,955.5291427061511
4,20,1041.233598780284,955.5291427061511
4,20,1060.5521153060654,950.3527618041007
4,20,1080.5521153060654,950.3527618041007
4,20,1099.8706318318468,945.1763809020504
4,20,1119.8706318318468,945.1763809020504
4,8,850.0,920.0
4,8,871.0,920.0
4,8,893.0,920.0
4,8,916.0,920.0
4,8,940.0,920.0
4,8,965.0,920.0
4,8,991.0,920.0
4,8,1018.0,920.0
4,8,1044.0799973098049,913.011885782232
4,8,1071.1259204458988,905.7649525193614
4,8,1099.1377694082819,898.2592002113882
4,8,1128.115544196954,890.4946288583126
4,8,1158.059244811915,882.4712384601345
4,8,1188.9688712531652,874.1890290168539
4,8,1220.8444235207044,865.6480005284707
4,8,1253.6859016145327,856.848152994985
4,8,1287.49330553465,847.7894864163967
4,8,1322.2666352810566,838.4720007927059
4,8,1358.2666352810566,838.4720007927059
4,12,850.0,920.0
4,12,871.0,920.0
4,12,893.0,920.0
4,12,916.0,920.0
4,12,940.0,920.0
4,12,965.0,920.0
4,12,991.0,920.0
4,12,1018.0,920.0
