car,time,circuit,goals_crossed,racing_line
0,0.028999999999996362,70.0,0.0,"[[613.2565835097474, 470.41886116991583, 5, 161.565051177078, [4.086824517669858e-08, 0.0, 0.0, 0.001322284829439649]], [608.3106682978982, 469.6854290209079, 5, 171.565051177078, [4.087658532237933e-08, 0.0, 0.0]]]"
2,0.028999999999996362,70.0,0.0,"[[613.2565835097474, 470.41886116991583, 5, 161.565051177078, [1.4641085755045766e-07, 0.0, 0.0, 0.0018677832220982795]], [608.3106682978982, 469.6854290209079, 5, 171.565051177078, [1.4640996200118483e-07, 0.0, 0.0, 4.732658709366517e-13]]]"
3,0.028999999999996362,70.0,0.0,"[[613.2565835097474, 470.41886116991583, 5, 161.565051177078, [7.902762784127649e-26, 0.0, 0.0, 0.001909515916676907]], [608.3106682978982, 469.6854290209079, 5, 171.565051177078, [2.5149701882563868e-24, 0.0, 0.0]]]"
20,0.028999999999996362,70.0,0.0,"[[613.2565835097474, 470.41886116991583, 5, 161.565051177078, [0.0, 0.0, 0.0, 1.2299628064728527]], [608.3106682978982, 469.6854290209079, 5, 171.565051177078, [0.0, 0.0, 0.0, 0.0]]]"
21,0.028999999999996362,70.0,0.0,"[[613.2565835097474, 470.41886116991583, 5, 161.565051177078, [0.0, 0.0, 0.0, 5.311250883473621e-07]], [608.3106682978982, 469.6854290209079, 5, 171.565051177078, [0.0, 0.0, 0.0]]]"
22,0.028999999999996362,70.0,0.0,"[[613.2565835097474, 470.41886116991583, 5, 161.565051177078, [0.0, 0.0, 0.0, 0.9709566666038402]], [608.3106682978982, 469.6854290209079, 5, 171.565051177078, [0.0, 0.0, 0.0]]]"
23,0.028999999999996362,70.0,0.0,"[[613.2565835097474, 470.41886116991583, 5, 161.565051177078, [0.0, 0.0, 0.0, 5.9175740866823445e-05]], [608.3106682978982, 469.6854290209079, 5, 171.565051177078, [0.0, 0.0, 0.0]]]"
24,0.028999999999996362,70.0,0.0,"[[613.2565835097474, 470.41886116991583, 5, 161.565051177078, [0.0, 0.0, 0.0, 0.983887789001665]], [608.3106682978982, 469.6854290209079, 5, 171.565051177078, [0.0, 0.0, 0.0, -16.11809565095832]]]"
25,0.028999999999996362,70.0,0.0,"[[613.2565835097474, 470.41886116991583, 5, 161.565051177078, [0.0, 0.0, 0.0, 0.5637625537480407]], [608.3106682978982, 469.6854290209079, 5, 171.565051177078, [0.0, 0.0, 0.0, 0.0]]]"
27,0.028999999999996362,70.0,0.0,"[[613.2565835097474, 470.41886116991583, 5, 161.565051177078, [0.0, 0.0, 0.0, 5.311250883473621e-07]], [608.3106682978982, 469.6854290209079, 5, 171.565051177078, [0.0, 0.0, 0.0]]]"
28,0.028999999999996362,70.0,0.0,"[[613.2565835097474, 470.41886116991583, 5, 161.565051177078, [0.0, 0.0, 0.0, 0.7202966364445387]], [608.3106682978982, 469.6854290209079, 5, 171.565051177078, [0.0, 0.0, 0.0, 0.0]]]"
30,0.05499999999994998,70.0,0.0,"[[617.0513167019495, 471.6837722339832, 1, 161.565051177078, [0.0, 0.0, 1.0, 0.5392999954067538]], [612.307900211697, 470.102633403899, 5, 161.565051177078, [0.0, 0.0, 4.577962546781925e-11, 0.0004291190300233462]], [611.3592169136465, 469.7864056378822, 1, 161.565051177078, [0.0, 0.0, 1.195829107059516e-09]]]"
5,0.07899999999995089,70.0,0.0,"[[617.1206417082232, 471.5238393184194, 1, 151.565051177078, [-0.44437233739408205, 0.0, 0.0, 0.0]], [616.3373272794389, 470.9022136226358, 1, 141.565051177078, [-0.4443480725189643, 0.0, 0.0]], [615.6738573261896, 470.15401069485796, 1, 131.565051177078, [-0.4443480725189643, 0.0, 0.0]], [615.1503910472727, 469.3019643024374, 1, 121.565051177078, [-0.4443480725189643, 0.0, 0.0]], [614.7828337006864, 468.37196344385154, 1, 111.565051177078, [-0.4443480725189643, 0.0, 0.0]]]"
6,0.07899999999995089,70.0,0.0,"[[617.1206417082232, 471.5238393184194, 1, 151.565051177078, [-16.11809565095832, 0.0, 0.0, 0.0]], [616.3373272794389, 470.9022136226358, 1, 141.565051177078, [-16.11809565095832, 0.0, 0.0]], [615.6738573261896, 470.15401069485796, 1, 131.565051177078, [-16.11809565095832, 0.0, 0.0]], [615.1503910472727, 469.3019643024374, 1, 121.565051177078, [-16.11809565095832, 0.0, 0.0]], [614.7828337006864, 468.37196344385154, 1, 111.565051177078, [-16.11809565095832, 0.0, 0.0]]]"
7,0.07899999999995089,70.0,0.0,"[[617.1206417082232, 471.5238393184194, 1, 151.565051177078, [-0.9875828258680888, 0.0, 0.0, 0.0]], [616.3373272794389, 470.9022136226358, 1, 141.565051177078, [-0.9873454257851719, 0.0, 0.0]], [615.6738573261896, 470.15401069485796, 1, 131.565051177078, [-0.9873454257851719, 0.0, 0.0]], [615.1503910472727, 469.3019643024374, 1, 121.565051177078, [-0.9873454257851719, 0.0, 0.0]], [614.7828337006864, 468.37196344385154, 1, 111.565051177078, [-0.9873454257851719, 0.0, 0.0]]]"
11,0.07899999999995089,70.0,0.0,"[[617.1206417082232, 471.5238393184194, 1, 151.565051177078, [-16.11809565095832, 0.0, 0.0, 0.0]], [616.3373272794389, 470.9022136226358, 1, 141.565051177078, [-16.11809565095832, 0.0, 0.0]], [615.6738573261896, 470.15401069485796, 1, 131.565051177078, [-16.11809565095832, 0.0, 0.0]], [615.1503910472727, 469.3019643024374, 1, 121.565051177078, [-16.11809565095832, 0.0, 0.0]], [614.7828337006864, 468.37196344385154, 1, 111.565051177078, [-16.11809565095832, 0.0, 0.0]]]"
