car,time,circuit,goals_crossed,racing_line
22,0.09999999999999998,1.0,0.0,"[[1100.0068278115903, 1290.8833423634328, 1, 173.30075576600638, [0.9957636349230097, 0.05673410464013692, 0.17746447562787634, 0.0]], [1095.0409668695418, 1290.3000541805966, 5, 173.30075576600638, [0.05120636616823559, 5.726761918534734e-05, 8.828436368896955e-06, 0.48242028774028484]], [1090.0492615834276, 1290.587940159033, 5, 183.30075576600638, [0.05120636616823559, 5.726761918534734e-05, 8.828436368896955e-06]], [1081.0641920684222, 1291.1061349202187, 9, 183.30075576600638, [0.05120636616823559, 5.726761918534734e-05, 8.828436368896955e-06, 0.48242028774028484]], [1072.3056095246477, 1293.1766980860962, 9, 193.30075576600638, [0.05120636616823559, 5.726761918534734e-05, 8.828436368896955e-06]], [1059.6543236280845, 1296.167511547919, 13, 193.30075576600638, [0.05120636616823559, 5.726761918534734e-05, 8.828436368896955e-06, 0.48242028774028484]]]"
28,0.09999999999999998,1.0,0.0,"[[1096.2108685738942, 1289.5632605721682, 5, 163.30075576600638, [-16.11809565095832, 0.07473881303579877, 7.902762784127649e-26, 0.9250815639389167]], [1091.743981998696, 1287.3167244998306, 5, 153.30075576600638, [-0.24690326147246353, 7.861267607062311e-07, 7.902762784127649e-26, 0.0]], [1087.7350643626392, 1284.3286516447429, 5, 143.30075576600638, [-0.272744972857219, 7.902762784127649e-26, 0.0]], [1084.305924599485, 1280.689833088569, 5, 133.30075576600638, [-0.29365466270309254, 1.134372272611512e-24, 0.0]], [1081.5607553857085, 1276.5108324918074, 5, 123.30075576600638, [-0.3878327417468664, 2.3962031311718293e-13, 0.0]], [1076.619450800911, 1268.9886314176365, 9, 123.30075576600638, [-16.11809565095832, 0.07074410582856418, 7.902762784127649e-26, 0.9420879647977682]]]"
4,0.133,1.0,1.0,"[[1100.1066226849603, 1290.5506927855324, 1, 153.30075576600638, [0.009198925695215267, 0.6301002211583583, 0.0, 0.5478181825343161]], [1095.639736109762, 1288.3041567131947, 5, 153.30075576600638, [0.009198925695504838, 0.0, 0.0, 1.0]], [1090.8506046836562, 1286.867417285363, 5, 163.30075576600638, [0.009198925695504838, 0.0, 0.0]], [1082.230168116666, 1284.2812863152658, 9, 163.30075576600638, [0.009198925695504838, 0.0, 0.0, 1.0]], [1073.2916184209785, 1283.2313675861603, 9, 173.30075576600638, [0.009198925695504838, 0.0, 0.0]], [1060.3803799716522, 1281.7148183107859, 13, 173.30075576600638, [0.009198925695504838, 0.0, 0.0, 1.0]], [1047.4019462277556, 1282.4633218547208, 13, 183.30075576600638, [0.009198925695504838, 0.0, 0.0]], [1030.4301482549677, 1283.442134181405, 17, 183.30075576600638, [0.009198925695504838, 0.0, 0.0, 1.0]]]"
20,0.22899999999999998,1.0,0.0,"[[1100.1066226849603, 1290.5506927855324, 1, 153.30075576600638, [0.0, 0.9952048207259655, 0.9946293333729875, 0.008237474132386943]], [1099.3048391577488, 1289.9530782145148, 1, 143.30075576600638, [0.0, 0.9917068861708581, 0.006450490602745211]], [1098.6190112051179, 1289.22531450328, 1, 133.30075576600638, [0.0, 0.9917068861708581, 0.006450490602745211]], [1098.0699773623626, 1288.3895143839277, 1, 123.30075576600638, [0.0, 0.9917068861769598, 0.006450490618468959]], [1097.6744197449705, 1287.471073220149, 1, 113.30075576600638, [0.0, 0.9917068861708581, 0.006450490602745211]], [1097.4443571709842, 1286.4978973819518, 1, 103.30075576600638, [0.0, 0.9917174524014692, 0.006477793172228786]], [1097.214294596998, 1285.5247215437546, 1, 103.30075576600638, [0.0, 0.9964345043022222, 0.9977456186496272, 0.25558148722596924]], [1097.1567174013105, 1284.5263804865317, 1, 93.30075576600638, [0.0, 0.997761218955739, 0.9958790337815668, 0.059034657189640974]], [1097.2733750378777, 1283.533208298122, 1, 83.30075576600638, [0.0, 0.9917068861711962, 0.006450490603616767]], [1097.560722923444, 1282.5753820129007, 1, 73.30075576600638, [0.0, 0.9917068861708581, 0.006450490602745211]], [1098.0100301379116, 1281.682004697861, 1, 63.300755766006375, [0.0, 0.9917068861708581, 0.006450490602745211]], [1098.6076447089292, 1280.8802211706495, 1, 53.300755766006375, [0.0, 0.9917068861708581, 0.006450490602745211]], [1099.335408420164, 1280.1943932180186, 1, 43.300755766006375, [0.0, 0.9917068861708581, 0.006450490602745211]], [1100.1712085395163, 1279.6453593752633, 1, 33.300755766006375, [0.0, 0.9917068861708581, 0.006450490602745211]]]"
18,0.263,1.0,0.0,"[[1100.0068278115903, 1290.8833423634328, 1, 173.30075576600638, [0.9999158299699795, -0.9811464631194703, -0.9861906484397384, -16.11809565095832]], [1099.0084867543674, 1290.9409195591202, 1, 183.30075576600638, [-0.9754250681455088, -0.9894960238776102, -16.11809565095832]], [1098.0353109161701, 1291.1709821331065, 1, 193.30075576600638, [-0.9754250681455088, -0.9894960238776102, -16.11809565095832]], [1097.1168697523915, 1291.5665397504986, 1, 203.30075576600638, [-0.9754250681455088, -0.9894960238776102, -16.11809565095832]], [1096.2810696330391, 1292.1155735932539, 1, 213.30075576600638, [-0.9754250681455088, -0.9894960238776102, -16.11809565095832]], [1095.5533059218044, 1292.8014015458848, 1, 223.30075576600638, [-0.9754250681455088, -0.9894960238776102, -16.11809565095832]], [1094.9556913507868, 1293.6031850730963, 1, 233.30075576600638, [-0.9754250681455088, -0.9894960238776102, -16.11809565095832]], [1094.5063841363192, 1294.496562388136, 1, 243.30075576600638, [-0.9754250681455088, -0.9894960238776102, -16.11809565095832]], [1094.2190362507529, 1295.4543886733572, 1, 253.30075576600638, [-0.9754250681455088, -0.9894960238776102, -16.11809565095832]], [1094.1023786141857, 1296.447560861767, 1, 263.3007557660064, [-0.9754250681455088, -0.9894960238776102, -16.11809565095832]], [1094.159955809873, 1297.4459019189899, 1, 273.3007557660064, [-0.9754250681455088, -0.9894960238776102, -16.11809565095832]], [1094.3900183838593, 1298.419077757187, 1, 283.3007557660064, [-0.9754250681455088, -0.9894960238776102, -16.11809565095832]], [1094.7855760012515, 1299.3375189209657, 1, 293.3007557660064, [-0.9754250681455088, -0.9894960238776102, -16.11809565095832]], [1095.3346098440068, 1300.1733190403181, 1, 303.3007557660064, [-0.9754250681455088, -0.9894960238776102, -16.11809565095832]], [1096.0204377966377, 1300.9010827515528, 1, 313.3007557660064, [-0.9754250681455088, -0.9894960238776102, -16.11809565095832]], [1096.8222213238491, 1301.4986973225705, 1, 323.3007557660064, [-0.9754250681455088, -0.9894960238776102, -16.11809565095832]]]"
29,0.263,1.0,0.0,"[[1100.0068278115903, 1290.8833423634328, 1, 173.30075576600638, [0.8459903782163527, 0.7124508246129777, 0.0, 0.0]], [1099.0084867543674, 1290.9409195591202, 1, 183.30075576600638, [0.7124243465208642, 0.0, 0.0]], [1098.0353109161701, 1291.1709821331065, 1, 193.30075576600638, [0.7124243465208642, 0.0, 0.0]], [1097.1168697523915, 1291.5665397504986, 1, 203.30075576600638, [0.7124243465208642, 0.0, 0.0]], [1096.2810696330391, 1292.1155735932539, 1, 213.30075576600638, [0.7124243465208642, 0.0, 0.0]], [1095.5533059218044, 1292.8014015458848, 1, 223.30075576600638, [0.7124243465208642, 0.0, 0.0]], [1094.9556913507868, 1293.6031850730963, 1, 233.30075576600638, [0.7124243465208642, 0.0, 0.0]], [1094.5063841363192, 1294.496562388136, 1, 243.30075576600638, [0.7124243465208642, 0.0, 0.0]], [1094.2190362507529, 1295.4543886733572, 1, 253.30075576600638, [0.7124243465208642, 0.0, 0.0]], [1094.1023786141857, 1296.447560861767, 1, 263.3007557660064, [0.7124243465208642, 0.0, 0.0]], [1094.159955809873, 1297.4459019189899, 1, 273.3007557660064, [0.7124243465208642, 0.0, 0.0]], [1094.3900183838593, 1298.419077757187, 1, 283.3007557660064, [0.7124243465208642, 0.0, 0.0]], [1094.7855760012515, 1299.3375189209657, 1, 293.3007557660064, [0.7124243465208642, 0.0, 0.0]], [1095.3346098440068, 1300.1733190403181, 1, 303.3007557660064, [0.7124243465208642, 0.0, 0.0]], [1096.0204377966377, 1300.9010827515528, 1, 313.3007557660064, [0.7124243465208642, 0.0, 0.0]], [1096.8222213238491, 1301.4986973225705, 1, 323.3007557660064, [0.7124243465208642, 0.0, 0.0]]]"
16,0.281,1.0,0.0,"[[1100.1066226849603, 1290.5506927855324, 1, 153.30075576600638, [0.0033038139505115016, 0.9440404792093781, 0.00031642122436805826, 0.652370731802413]], [1099.148796399739, 1290.2633448999661, 1, 163.30075576600638, [1.040515107916076, 0.999996963286295, 6.367605210865561e-08, 0.058225519860433755]], [1098.1556242113293, 1290.146687263399, 1, 173.30075576600638, [0.999996963286295, 6.367605210865561e-08, 0.058225519860433755]], [1097.1572831541064, 1290.2042644590863, 1, 183.30075576600638, [0.999996963286295, 6.367605210865561e-08, 0.058225519860433755]], [1096.1841073159092, 1290.4343270330726, 1, 193.30075576600638, [0.9999990060542217, 9.874960386648057e-09, 0.03736217250503098]], [1095.2656661521305, 1290.8298846504647, 1, 203.30075576600638, [0.999999431354173, 3.7466295490372815e-09, 0.029834342110434335]], [1094.4298660327781, 1291.37891849322, 1, 213.30075576600638, [0.9999998138770276, 5.006141130533308e-10, 0.018939525232390807]], [1093.7021023215434, 1292.064746445851, 1, 223.30075576600638, [0.9999999934735964, 6.581160799116705e-13, 0.004753485754921741]], [1093.1044877505258, 1292.8665299730624, 1, 233.30075576600638, [0.9999999999859737, 3.372159455175237e-19, 0.00036883862316317966]], [1092.6551805360582, 1293.759907288102, 1, 243.30075576600638, [0.9999999999950504, 2.1471165404037752e-20, 0.00023895425960621957]], [1092.367832650492, 1294.7177335733234, 1, 253.30075576600638, [0.9999999999950504, 2.1471165404037752e-20, 0.00023895425960621957]], [1092.2511750139247, 1295.710905761733, 1, 263.3007557660064, [0.9999999999950504, 2.1471165404037752e-20, 0.00023895425960621957]], [1092.308752209612, 1296.709246818956, 1, 273.3007557660064, [0.9999999999950504, 2.1471165404037752e-20, 0.00023895425960621957]], [1092.5388147835984, 1297.6824226571532, 1, 283.3007557660064, [0.9999999934735964, 6.581160799116705e-13, 0.004753485754921741]], [1092.9343724009905, 1298.6008638209319, 1, 293.3007557660064, [0.9999982626657072, 2.5389091102434278e-08, 0.046698005189112]], [1093.1644349749768, 1299.574039659129, 1, 283.3007557660064, [0.889002651946829, 0.999993353869238, 2.2177717539428845e-07, 0.0789334629684274]], [1093.5599925923689, 1300.4924808229077, 1, 293.3007557660064, [0.7182502020626251, 8.654981762726766e-07, 0.11055569158123284]]]"
0,0.30000000000000004,1.0,0.0,"[[1100.0421737147788, 1290.7126521144337, 1, 163.30075576600638, [-0.9992294385592527, 0.8281190549712916, 2.0164861865774824, 1.7534713433784772e-05]], [1099.148796399739, 1290.2633448999661, 1, 153.30075576600638, [-1.0, 1.0, 7.902762784127649e-26]], [1098.2554190846993, 1289.8140376854985, 1, 153.30075576600638, [-1.0, 0.9999997331108456, 1.860295188262727, 0.02120430505211737]], [1097.4536355574878, 1289.216423114481, 1, 143.30075576600638, [-1.0, 0.9999996353785533, 0.03374868513536847]], [1096.6518520302764, 1288.6188085434633, 1, 143.30075576600638, [-1.0, 0.9998714613846731, 1.9319467496230196, 0.8125334075128483]], [1095.9660240776454, 1287.8910448322285, 1, 133.30075576600638, [-1.0, 0.9998921834935826, 0.8610454802680574]], [1095.2801961250145, 1287.1632811209938, 1, 133.30075576600638, [-1.0, 0.9991466332613155, 1.953908381092031, 0.23866277197279465]], [1094.7311622822592, 1286.3274810016414, 1, 123.30075576600638, [-1.0, 0.9991466332613155, 0.23866277197279465]], [1094.182128439504, 1285.491680882289, 1, 123.30075576600638, [-1.0, 0.9998920448605358, 1.9299223638147311, 0.8607101737093672]], [1093.7865708221118, 1284.5732397185104, 1, 113.30075576600638, [-1.0, 0.9998552793096238, 0.7771940582516551]], [1093.3910132047197, 1283.6547985547318, 1, 113.30075576600638, [-0.9999999999999353, 0.9830362599622056, 1.9886809462040809, 0.003623624830113502]], [1093.1609506307334, 1282.6816227165345, 1, 103.30075576600638, [-0.9999999999999779, 0.9848050235662801, 0.0044444924963955015]], [1092.930888056747, 1281.7084468783373, 1, 103.30075576600638, [-0.972188443753233, 0.7599797761796896, 2.0208002044463345, 6.548189205672822e-06]], [1092.8733108610597, 1280.7101058211144, 1, 93.30075576600638, [-0.972188443753233, 0.7599797761796896, 6.548189205672822e-06]], [1092.6432482870734, 1279.7369299829172, 1, 103.30075576600638, [1.0, -1.0, 0.0, 7.902762784127649e-26]], [1092.4131857130872, 1278.76375414472, 1, 103.30075576600638, [1.0, -0.8396802427811425, 1.083868461662846, 0.7097525540919694]], [1092.017628095695, 1277.8453129809413, 1, 113.30075576600638, [1.0, -0.9997920572731189, 0.03337853067452989, 6.627916328583146e-07]], [1091.622070478303, 1276.9268718171627, 1, 113.30075576600638, [-0.9996188031800805, 0.8392074441968878, 2.0156424898907725, 2.1154671539603284e-05]]]"
6,0.30000000000000004,1.0,0.0,"[[1100.0421737147788, 1290.7126521144337, 1, 163.30075576600638, [-16.11809565095832, 0.19210639821952674, 6.2363201951757485, 0.0]], [1099.148796399739, 1290.2633448999661, 1, 153.30075576600638, [-16.11809565095832, 0.6292546104099764, 0.0]], [1098.2554190846993, 1289.8140376854985, 1, 153.30075576600638, [-16.11809565095832, 0.6292546104099764, 6.049431527329174, 0.0]], [1097.4536355574878, 1289.216423114481, 1, 143.30075576600638, [-16.11809565095832, 0.6292544818803281, 0.0]], [1096.6518520302764, 1288.6188085434633, 1, 143.30075576600638, [-16.11809565095832, 0.6292546522496179, 6.04943150944198, 0.0]], [1095.9660240776454, 1287.8910448322285, 1, 133.30075576600638, [-16.11809565095832, 0.6292546104099764, 0.0]], [1095.2801961250145, 1287.1632811209938, 1, 133.30075576600638, [-16.11809565095832, 0.6292546104099764, 6.049431527329174, 0.0]], [1094.7311622822592, 1286.3274810016414, 1, 123.30075576600638, [-16.11809565095832, 0.6292546104099764, 0.0]], [1094.182128439504, 1285.491680882289, 1, 123.30075576600638, [-16.11809565095832, 0.6292546522496179, 6.04943150944198, 0.0]], [1093.7865708221118, 1284.5732397185104, 1, 113.30075576600638, [-16.11809565095832, 0.6292546522496179, 0.0]], [1093.3910132047197, 1283.6547985547318, 1, 113.30075576600638, [-16.11809565095832, 0.6292546717463154, 6.049431501106794, 0.0]], [1093.1609506307334, 1282.6816227165345, 1, 103.30075576600638, [-16.11809565095832, 0.6292546104099764, 0.0]], [1092.930888056747, 1281.7084468783373, 1, 103.30075576600638, [-16.11809565095832, 0.6292546717463154, 6.049431501106794, 0.0]], [1092.8733108610597, 1280.7101058211144, 1, 93.30075576600638, [-16.11809565095832, 0.6292546703030679, 0.0]], [1092.8157336653724, 1279.7117647638916, 1, 93.30075576600638, [-16.11809565095832, 0.6292546724420476, 6.049431500809357, 0.0]], [1092.9323913019396, 1278.7185925754818, 1, 83.30075576600638, [-16.11809565095832, 0.6292546724188487, 0.0]], [1093.0490489385068, 1277.725420387072, 1, 83.30075576600638, [-16.11809565095832, 0.6292546724428764, 6.049431500809002, 0.0]], [1093.336396824073, 1276.7675941018508, 1, 73.30075576600638, [-16.11809565095832, 0.6292546724428754, 0.0]]]"
8,0.30000000000000004,1.0,0.0,"[[1100.0068278115903, 1290.8833423634328, 1, 173.30075576600638, [0.9832249203292817, 0.007107487219581378, -0.9923471346747936, 0.6632011640570651]], [1099.0136556231805, 1290.7666847268656, 1, 173.30075576600638, [0.4304177101501865, -0.8154281903576741, 0.9637229333085415]], [1098.0153145659576, 1290.824261922553, 1, 183.30075576600638, [0.9815676439148096, 0.4304177101501865, -0.8154281903576741, 0.9637229333085415]], [1097.0169735087347, 1290.8818391182404, 1, 183.30075576600638, [0.4304177101045345, -0.8154281903683729, 0.963722933306038]], [1096.0437976705375, 1291.1119016922266, 1, 193.30075576600638, [0.9815676439149165, 0.4304177101045345, -0.8154281903683729, 0.963722933306038]], [1095.0706218323403, 1291.341964266213, 1, 193.30075576600638, [0.430417707446573, -0.8154281909912788, 0.963722933160264]], [1094.1521806685616, 1291.737521883605, 1, 203.30075576600638, [0.9815676439211399, 0.430417707446573, -0.8154281909912788, 0.963722933160264]], [1093.233739504783, 1292.1330795009972, 1, 203.30075576600638, [0.4304176996263309, -0.8154281928239899, 0.9637229327313691]], [1092.3979393854306, 1292.6821133437525, 1, 213.30075576600638, [0.9815676440107213, 0.4304176691875938, -0.8154281999574537, 0.9637229310619803]], [1091.5621392660782, 1293.2311471865078, 1, 213.30075576600638, [0.4304175507108818, -0.8154282277230382, 0.9637229245642164]], [1090.8343755548435, 1293.9169751391387, 1, 223.30075576600638, [0.9815676453678791, 0.4304170895641691, -0.8154283357949708, 0.9637228992729628]], [1090.1066118436088, 1294.6028030917696, 1, 223.30075576600638, [0.4304170895641691, -0.8154283357949708, 0.9637228992729628]], [1089.5089972725912, 1295.404586618981, 1, 233.30075576600638, [0.9815676495705862, 0.43041529464750017, -0.8154287564421643, 0.9637228008318071]], [1088.9113827015735, 1296.2063701461925, 1, 233.30075576600638, [0.4304083083709591, -0.8154303937076439, 0.9637224176695154]], [1088.462075487106, 1297.0997474612323, 1, 243.30075576600638, [0.9815677295972692, 0.4303811168886353, -0.8154367661331474, 0.963720926291669]], [1088.0127682726384, 1297.993124776272, 1, 243.30075576600638, [0.4302752977901805, -0.8154615649126875, 0.9637151214791098]], [1087.725420387072, 1298.9509510614932, 1, 253.30075576600638, [0.9815679773852377, 0.4302752977901805, -0.8154615649126875, 0.9637151214791098]], [1087.4380725015058, 1299.9087773467145, 1, 253.30075576600638, [0.429863695788013, -0.8155580192829952, 0.9636925286032088]]]"
