car,racing_line
4,"[[1395.716348618078, 1161.065440361518, 8.643105506253569, 136.63657704161673, 3], [1391.1827845236182, 1153.7067672886294, 8.643105506253569, 121.63657704161673, 1], [1384.8991331416962, 1147.7722076501475, 8.643105506253569, 136.63657704161673, 0], [1380.3655690472365, 1140.4135345772588, 8.643105506253569, 121.63657704161673, 1], [1374.0819176653144, 1134.478974938777, 8.643105506253569, 136.63657704161673, 0], [1369.5483535708547, 1127.1203018658882, 8.643105506253569, 121.63657704161673, 1]]"
9,"[[1395.716348618078, 1161.065440361518, 8.643105506253569, 136.63657704161673, 3], [1391.1827845236182, 1153.7067672886294, 8.643105506253569, 121.63657704161673, 1], [1387.113062338598, 1147.1009811051617, 7.758804660831339, 121.63657704161673, 2], [1383.5600479116354, 1141.3338912291797, 6.773716642719715, 121.63657704161673, 2], [1380.5988850150754, 1136.5274675816167, 5.645369250971603, 121.63657704161673, 2], [1378.3478677942508, 1132.8737197875282, 4.2914975790808505, 121.63657704161673, 2]]"
6,"[[1395.716348618078, 1161.065440361518, 8.643105506253569, 136.63657704161673, 3], [1390.0755955815887, 1155.7380624937227, 7.758804660831339, 136.63657704161673, 2], [1385.1510144906858, 1151.0870692412034, 6.773716642719715, 136.63657704161673, 2], [1381.0467567942292, 1147.2108258612166, 5.645369250971603, 136.63657704161673, 2], [1375.9582165854433, 1142.4049823306966, 6.999240922862356, 136.63657704161673, 3], [1370.0757848260434, 1136.8493523357079, 8.09123155305885, 136.63657704161673, 3], [1363.5066049254076, 1130.6451268739963, 9.035847395051919, 136.63657704161673, 3], [1356.3224701692466, 1123.8601107153997, 9.881712223450744, 136.63657704161673, 3], [1351.1392202719028, 1115.4468974785452, 9.881712223450744, 121.63657704161673, 1], [1348.310085148155, 1105.9788337420323, 9.881712223450744, 106.63657704161673, 1]]"
2,"[[1401.1200479727538, 1166.5249374464925, 1, 151.63657704161673, 0], [1393.5145297608224, 1162.4189216744562, 8.643105506253569, 151.63657704161673, 3], [1385.130869227266, 1157.8928076847249, 9.5274063516758, 151.63657704161673, 3], [1376.0412908461412, 1152.9855875382386, 10.329629456698418, 151.63657704161673, 3], [1368.5315143701555, 1145.8930208664742, 10.329629456698418, 136.63657704161673, 1], [1360.4838058945113, 1138.2924073061436, 11.069550045166118, 136.63657704161673, 3], [1351.934122342491, 1130.21770617368, 11.760012211655999, 136.63657704161673, 3], [1342.9119360303234, 1121.6967524344107, 12.4099354743783, 136.63657704161673, 3], [1333.4419924964648, 1112.7529168746553, 13.025821473305015, 136.63657704161673, 3], [1323.5454625672098, 1103.4061941636924, 13.612587192604737, 136.63657704161673, 3], [1313.2407340970933, 1093.6739506085823, 14.174060584702149, 136.63657704161673, 3], [1302.5439769492266, 1083.5714577467083, 14.713292476691002, 136.63657704161673, 3], [1294.8264205182252, 1071.0446745108188, 14.713292476691002, 121.63657704161673, 1]]"
1,"[[1401.2729868474503, 1166.3133764670363, 1, 136.63657704161673, 2], [1400.7484573144973, 1165.4619842136888, 1, 121.63657704161673, 1], [1400.2239277815443, 1164.6105919603413, 1, 121.63657704161673, 2], [1399.6993982485913, 1163.7591997069937, 1, 121.63657704161673, 2], [1399.1748687156382, 1162.9078074536462, 1, 121.63657704161673, 2], [1398.6503391826852, 1162.0564152002987, 1, 121.63657704161673, 2], [1398.1258096497322, 1161.2050229469512, 1, 121.63657704161673, 2], [1397.6012801167792, 1160.3536306936037, 1, 121.63657704161673, 2], [1397.0767505838262, 1159.5022384402562, 1, 121.63657704161673, 2], [1396.5522210508732, 1158.6508461869087, 1, 121.63657704161673, 2], [1396.0276915179202, 1157.7994539335612, 1, 121.63657704161673, 2], [1395.5031619849672, 1156.9480616802136, 1, 121.63657704161673, 2], [1394.9786324520142, 1156.0966694268661, 1, 121.63657704161673, 2], [1394.4541029190611, 1155.2452771735186, 1, 121.63657704161673, 2], [1393.9295733861081, 1154.393884920171, 1, 121.63657704161673, 2], [1393.4050438531551, 1153.5424926668236, 1, 121.63657704161673, 2], [1392.880514320202, 1152.691100413476, 1, 121.63657704161673, 2], [1392.355984787249, 1151.8397081601286, 1, 121.63657704161673, 2], [1391.831455254296, 1150.988315906781, 1, 121.63657704161673, 2], [1391.306925721343, 1150.1369236534335, 1, 121.63657704161673, 2], [1390.78239618839, 1149.285531400086, 1, 121.63657704161673, 2], [1390.257866655437, 1148.4341391467385, 1, 121.63657704161673, 2], [1389.733337122484, 1147.582746893391, 1, 121.63657704161673, 2], [1389.208807589531, 1146.7313546400435, 1, 121.63657704161673, 2], [1388.684278056578, 1145.879962386696, 1, 121.63657704161673, 2], [1388.159748523625, 1145.0285701333485, 1, 121.63657704161673, 2], [1387.635218990672, 1144.177177880001, 1, 121.63657704161673, 2], [1387.110689457719, 1143.3257856266534, 1, 121.63657704161673, 2], [1386.586159924766, 1142.474393373306, 1, 121.63657704161673, 2], [1386.061630391813, 1141.6230011199584, 1, 121.63657704161673, 2], [1385.53710085886, 1140.771608866611, 1, 121.63657704161673, 2], [1385.012571325907, 1139.9202166132634, 1, 121.63657704161673, 2]]"
5,"[[1401.2729868474503, 1166.3133764670363, 1, 136.63657704161673, 2], [1400.7484573144973, 1165.4619842136888, 1, 121.63657704161673, 1], [1400.2239277815443, 1164.6105919603413, 1, 121.63657704161673, 2], [1399.6993982485913, 1163.7591997069937, 1, 121.63657704161673, 2], [1399.1748687156382, 1162.9078074536462, 1, 121.63657704161673, 2], [1398.6503391826852, 1162.0564152002987, 1, 121.63657704161673, 2], [1398.1258096497322, 1161.2050229469512, 1, 121.63657704161673, 2], [1397.6012801167792, 1160.3536306936037, 1, 121.63657704161673, 2], [1397.0767505838262, 1159.5022384402562, 1, 121.63657704161673, 2], [1396.5522210508732, 1158.6508461869087, 1, 121.63657704161673, 2], [1396.0276915179202, 1157.7994539335612, 1, 121.63657704161673, 2], [1395.5031619849672, 1156.9480616802136, 1, 121.63657704161673, 2], [1394.9786324520142, 1156.0966694268661, 1, 121.63657704161673, 2], [1394.4541029190611, 1155.2452771735186, 1, 121.63657704161673, 2], [1393.9295733861081, 1154.393884920171, 1, 121.63657704161673, 2], [1393.4050438531551, 1153.5424926668236, 1, 121.63657704161673, 2], [1392.880514320202, 1152.691100413476, 1, 121.63657704161673, 2], [1392.355984787249, 1151.8397081601286, 1, 121.63657704161673, 2], [1391.831455254296, 1150.988315906781, 1, 121.63657704161673, 2], [1391.306925721343, 1150.1369236534335, 1, 121.63657704161673, 2], [1390.78239618839, 1149.285531400086, 1, 121.63657704161673, 2], [1390.257866655437, 1148.4341391467385, 1, 121.63657704161673, 2], [1389.733337122484, 1147.582746893391, 1, 121.63657704161673, 2], [1389.208807589531, 1146.7313546400435, 1, 121.63657704161673, 2], [1388.684278056578, 1145.879962386696, 1, 121.63657704161673, 2], [1388.159748523625, 1145.0285701333485, 1, 121.63657704161673, 2], [1387.635218990672, 1144.177177880001, 1, 121.63657704161673, 2], [1387.110689457719, 1143.3257856266534, 1, 121.63657704161673, 2], [1386.586159924766, 1142.474393373306, 1, 121.63657704161673, 2], [1386.061630391813, 1141.6230011199584, 1, 121.63657704161673, 2], [1385.53710085886, 1140.771608866611, 1, 121.63657704161673, 2], [1385.012571325907, 1139.9202166132634, 1, 121.63657704161673, 2]]"
8,"[[1401.2729868474503, 1166.3133764670363, 1, 136.63657704161673, 2], [1400.7484573144973, 1165.4619842136888, 1, 121.63657704161673, 1], [1400.2239277815443, 1164.6105919603413, 1, 121.63657704161673, 2], [1399.6993982485913, 1163.7591997069937, 1, 121.63657704161673, 2], [1399.1748687156382, 1162.9078074536462, 1, 121.63657704161673, 2], [1398.6503391826852, 1162.0564152002987, 1, 121.63657704161673, 2], [1398.1258096497322, 1161.2050229469512, 1, 121.63657704161673, 2], [1397.6012801167792, 1160.3536306936037, 1, 121.63657704161673, 2], [1397.0767505838262, 1159.5022384402562, 1, 121.63657704161673, 2], [1396.5522210508732, 1158.6508461869087, 1, 121.63657704161673, 2], [1396.0276915179202, 1157.7994539335612, 1, 121.63657704161673, 2], [1395.5031619849672, 1156.9480616802136, 1, 121.63657704161673, 2], [1394.9786324520142, 1156.0966694268661, 1, 121.63657704161673, 2], [1394.4541029190611, 1155.2452771735186, 1, 121.63657704161673, 2], [1393.9295733861081, 1154.393884920171, 1, 121.63657704161673, 2], [1393.4050438531551, 1153.5424926668236, 1, 121.63657704161673, 2], [1392.880514320202, 1152.691100413476, 1, 121.63657704161673, 2], [1392.355984787249, 1151.8397081601286, 1, 121.63657704161673, 2], [1391.831455254296, 1150.988315906781, 1, 121.63657704161673, 2], [1391.306925721343, 1150.1369236534335, 1, 121.63657704161673, 2], [1390.78239618839, 1149.285531400086, 1, 121.63657704161673, 2], [1390.257866655437, 1148.4341391467385, 1, 121.63657704161673, 2], [1389.733337122484, 1147.582746893391, 1, 121.63657704161673, 2], [1389.208807589531, 1146.7313546400435, 1, 121.63657704161673, 2], [1388.684278056578, 1145.879962386696, 1, 121.63657704161673, 2], [1388.159748523625, 1145.0285701333485, 1, 121.63657704161673, 2], [1387.635218990672, 1144.177177880001, 1, 121.63657704161673, 2], [1387.110689457719, 1143.3257856266534, 1, 121.63657704161673, 2], [1386.586159924766, 1142.474393373306, 1, 121.63657704161673, 2], [1386.061630391813, 1141.6230011199584, 1, 121.63657704161673, 2], [1385.53710085886, 1140.771608866611, 1, 121.63657704161673, 2], [1385.012571325907, 1139.9202166132634, 1, 121.63657704161673, 2]]"
7,"[[1395.716348618078, 1161.065440361518, 8.643105506253569, 136.63657704161673, 3], [1391.1827845236182, 1153.7067672886294, 8.643105506253569, 121.63657704161673, 1], [1384.8991331416962, 1147.7722076501475, 8.643105506253569, 136.63657704161673, 0], [1380.3655690472365, 1140.4135345772588, 8.643105506253569, 121.63657704161673, 1], [1374.0819176653144, 1134.478974938777, 8.643105506253569, 136.63657704161673, 0], [1366.476399453383, 1130.3729591667407, 8.643105506253569, 151.63657704161673, 0], [1360.192748071461, 1124.4383995282587, 8.643105506253569, 136.63657704161673, 1], [1352.5872298595295, 1120.3323837562225, 8.643105506253569, 151.63657704161673, 0], [1346.3035784776075, 1114.3978241177406, 8.643105506253569, 136.63657704161673, 1], [1338.698060265676, 1110.2918083457043, 8.643105506253569, 151.63657704161673, 0], [1332.414408883754, 1104.3572487072224, 8.643105506253569, 136.63657704161673, 1], [1324.8088906718226, 1100.2512329351862, 8.643105506253569, 151.63657704161673, 0], [1318.5252392899006, 1094.3166732967043, 8.643105506253569, 136.63657704161673, 1], [1310.9197210779691, 1090.210657524668, 8.643105506253569, 151.63657704161673, 0], [1304.6360696960471, 1084.276097886186, 8.643105506253569, 136.63657704161673, 1], [1297.0305514841157, 1080.1700821141499, 8.643105506253569, 151.63657704161673, 0], [1290.7469001021936, 1074.235522475668, 8.643105506253569, 136.63657704161673, 1], [1283.1413818902622, 1070.1295067036317, 8.643105506253569, 151.63657704161673, 0], [1276.8577305083402, 1064.1949470651498, 8.643105506253569, 136.63657704161673, 1], [1269.2522122964087, 1060.0889312931135, 8.643105506253569, 151.63657704161673, 0], [1262.9685609144867, 1054.1543716546316, 8.643105506253569, 136.63657704161673, 1], [1255.3630427025553, 1050.0483558825954, 8.643105506253569, 151.63657704161673, 0], [1249.0793913206332, 1044.1137962441135, 8.643105506253569, 136.63657704161673, 1], [1241.4738731087018, 1040.0077804720772, 8.643105506253569, 151.63657704161673, 0], [1235.1902217267798, 1034.0732208335953, 8.643105506253569, 136.63657704161673, 1], [1227.5847035148483, 1029.967205061559, 8.643105506253569, 151.63657704161673, 0], [1221.3010521329263, 1024.0326454230772, 8.643105506253569, 136.63657704161673, 1], [1216.7674880384666, 1016.6739723501885, 8.643105506253569, 121.63657704161673, 1], [1210.4838366565446, 1010.7394127117064, 8.643105506253569, 136.63657704161673, 0], [1202.8783184446131, 1006.6333969396702, 8.643105506253569, 151.63657704161673, 0], [1196.594667062691, 1000.6988373011882, 8.643105506253569, 136.63657704161673, 1], [1188.9891488507596, 996.5928215291519, 8.643105506253569, 151.63657704161673, 0], [1182.7054974688376, 990.6582618906699, 8.643105506253569, 136.63657704161673, 1], [1175.0999792569062, 986.5522461186337, 8.643105506253569, 151.63657704161673, 0], [1168.8163278749842, 980.6176864801516, 8.643105506253569, 136.63657704161673, 1], [1161.2108096630527, 976.5116707081154, 8.643105506253569, 151.63657704161673, 0], [1154.9271582811307, 970.5771110696334, 8.643105506253569, 136.63657704161673, 1], [1147.3216400691992, 966.4710952975971, 8.643105506253569, 151.63657704161673, 0], [1141.0379886872772, 960.5365356591151, 8.643105506253569, 136.63657704161673, 1], [1133.4324704753458, 956.4305198870788, 8.643105506253569, 151.63657704161673, 0], [1127.1488190934238, 950.4959602485968, 8.643105506253569, 136.63657704161673, 1], [1119.5433008814923, 946.3899444765606, 8.643105506253569, 151.63657704161673, 0], [1113.2596494995703, 940.4553848380785, 8.643105506253569, 136.63657704161673, 1], [1105.6541312876388, 936.3493690660423, 8.643105506253569, 151.63657704161673, 0], [1099.3704799057168, 930.4148094275603, 8.643105506253569, 136.63657704161673, 1], [1091.7649616937854, 926.308793655524, 8.643105506253569, 151.63657704161673, 0], [1085.4813103118634, 920.374234017042, 8.643105506253569, 136.63657704161673, 1], [1077.875792099932, 916.2682182450058, 8.643105506253569, 151.63657704161673, 0], [1071.59214071801, 910.3336586065237, 8.643105506253569, 136.63657704161673, 1], [1063.9866225060784, 906.2276428344875, 8.643105506253569, 151.63657704161673, 0], [1057.7029711241564, 900.2930831960055, 8.643105506253569, 136.63657704161673, 1], [1050.097452912225, 896.1870674239692, 8.643105506253569, 151.63657704161673, 0], [1043.813801530303, 890.2525077854872, 8.643105506253569, 136.63657704161673, 1], [1036.2082833183715, 886.1464920134509, 8.643105506253569, 151.63657704161673, 0], [1029.9246319364495, 880.2119323749689, 8.643105506253569, 136.63657704161673, 1], [1022.319113724518, 876.1059166029327, 8.643105506253569, 151.63657704161673, 0], [1016.0354623425959, 870.1713569644506, 8.643105506253569, 136.63657704161673, 1], [1011.5018982481362, 862.812683891562, 8.643105506253569, 121.63657704161673, 1], [1005.218246866214, 856.8781242530799, 8.643105506253569, 136.63657704161673, 0], [1000.6846827717543, 849.5194511801913, 8.643105506253569, 121.63657704161673, 1], [994.4010313898322, 843.5848915417092, 8.643105506253569, 136.63657704161673, 0], [989.8674672953724, 836.2262184688205, 8.643105506253569, 121.63657704161673, 1], [987.3929453893437, 827.9449133706603, 8.643105506253569, 106.63657704161673, 1], [987.146100250301, 819.3053335041643, 8.643105506253569, 91.63657704161673, 1], [989.1437539665391, 810.8962519596536, 8.643105506253569, 76.63657704161673, 1], [988.8969088274963, 802.2566720931576, 8.643105506253569, 91.63657704161673, 0], [990.8945625437344, 793.8475905486468, 8.643105506253569, 76.63657704161673, 1]]"
0,"[[1395.716348618078, 1161.065440361518, 8.643105506253569, 136.63657704161673, 3], [1390.0755955815887, 1155.7380624937227, 7.758804660831339, 136.63657704161673, 2], [1385.1510144906858, 1151.0870692412034, 6.773716642719715, 136.63657704161673, 2], [1381.0467567942292, 1147.2108258612166, 5.645369250971603, 136.63657704161673, 2], [1377.9267816101017, 1144.2641826317629, 4.2914975790808505, 136.63657704161673, 2], [1376.1016080953166, 1142.5404076455768, 2.5105096219839336, 136.63657704161673, 2], [1375.3745949427669, 1141.853784112613, 1, 136.63657704161673, 2], [1374.6475817902171, 1141.1671605796494, 1, 136.63657704161673, 2], [1373.9205686376674, 1140.4805370466856, 1, 136.63657704161673, 2], [1373.1935554851177, 1139.793913513722, 1, 136.63657704161673, 2], [1372.466542332568, 1139.1072899807582, 1, 136.63657704161673, 2], [1371.7395291800183, 1138.4206664477945, 1, 136.63657704161673, 2], [1371.0125160274686, 1137.7340429148308, 1, 136.63657704161673, 2], [1370.2855028749188, 1137.047419381867, 1, 136.63657704161673, 2], [1369.5584897223691, 1136.3607958489033, 1, 136.63657704161673, 2], [1368.8314765698194, 1135.6741723159396, 1, 136.63657704161673, 2], [1368.1044634172697, 1134.9875487829759, 1, 136.63657704161673, 2], [1367.37745026472, 1134.3009252500121, 1, 136.63657704161673, 2], [1366.6504371121703, 1133.6143017170484, 1, 136.63657704161673, 2], [1365.9234239596205, 1132.9276781840847, 1, 136.63657704161673, 2], [1365.1964108070708, 1132.241054651121, 1, 136.63657704161673, 2], [1364.4693976545211, 1131.5544311181573, 1, 136.63657704161673, 2], [1363.7423845019714, 1130.8678075851935, 1, 136.63657704161673, 2], [1363.0153713494217, 1130.1811840522298, 1, 136.63657704161673, 2], [1362.288358196872, 1129.494560519266, 1, 136.63657704161673, 2], [1361.5613450443223, 1128.8079369863024, 1, 136.63657704161673, 2], [1360.8343318917725, 1128.1213134533386, 1, 136.63657704161673, 2], [1360.1073187392228, 1127.434689920375, 1, 136.63657704161673, 2], [1359.380305586673, 1126.7480663874112, 1, 136.63657704161673, 2], [1358.6532924341234, 1126.0614428544475, 1, 136.63657704161673, 2], [1357.9262792815737, 1125.3748193214838, 1, 136.63657704161673, 2], [1357.199266129024, 1124.68819578852, 1, 136.63657704161673, 2], [1356.4722529764742, 1124.0015722555563, 1, 136.63657704161673, 2], [1355.7452398239245, 1123.3149487225926, 1, 136.63657704161673, 2], [1355.0182266713748, 1122.6283251896289, 1, 136.63657704161673, 2], [1354.291213518825, 1121.9417016566651, 1, 136.63657704161673, 2], [1353.5642003662754, 1121.2550781237014, 1, 136.63657704161673, 2], [1352.8371872137257, 1120.5684545907377, 1, 136.63657704161673, 2], [1352.110174061176, 1119.881831057774, 1, 136.63657704161673, 2], [1351.3831609086262, 1119.1952075248103, 1, 136.63657704161673, 2], [1350.6561477560765, 1118.5085839918465, 1, 136.63657704161673, 2], [1349.9291346035268, 1117.8219604588828, 1, 136.63657704161673, 2], [1349.202121450977, 1117.135336925919, 1, 136.63657704161673, 2], [1348.4751082984274, 1116.4487133929554, 1, 136.63657704161673, 2], [1347.7480951458776, 1115.7620898599916, 1, 136.63657704161673, 2], [1347.021081993328, 1115.075466327028, 1, 136.63657704161673, 2], [1346.2940688407782, 1114.3888427940642, 1, 136.63657704161673, 2], [1345.5670556882285, 1113.7022192611005, 1, 136.63657704161673, 2], [1344.8400425356788, 1113.0155957281368, 1, 136.63657704161673, 2], [1344.113029383129, 1112.328972195173, 1, 136.63657704161673, 2], [1343.3860162305793, 1111.6423486622093, 1, 136.63657704161673, 2], [1342.6590030780296, 1110.9557251292456, 1, 136.63657704161673, 2], [1341.93198992548, 1110.2691015962819, 1, 136.63657704161673, 2], [1341.2049767729302, 1109.5824780633181, 1, 136.63657704161673, 2], [1340.4779636203805, 1108.8958545303544, 1, 136.63657704161673, 2], [1339.7509504678308, 1108.2092309973907, 1, 136.63657704161673, 2], [1339.023937315281, 1107.522607464427, 1, 136.63657704161673, 2], [1338.2969241627313, 1106.8359839314633, 1, 136.63657704161673, 2], [1337.5699110101816, 1106.1493603984995, 1, 136.63657704161673, 2], [1336.842897857632, 1105.4627368655358, 1, 136.63657704161673, 2], [1336.1158847050822, 1104.776113332572, 1, 136.63657704161673, 2], [1335.3888715525325, 1104.0894897996084, 1, 136.63657704161673, 2], [1334.6618583999827, 1103.4028662666447, 1, 136.63657704161673, 2], [1333.934845247433, 1102.716242733681, 1, 136.63657704161673, 2], [1333.2078320948833, 1102.0296192007172, 1, 136.63657704161673, 2], [1332.4808189423336, 1101.3429956677535, 1, 136.63657704161673, 2], [1331.7538057897839, 1100.6563721347898, 1, 136.63657704161673, 2], [1331.0267926372342, 1099.969748601826, 1, 136.63657704161673, 2], [1330.2997794846844, 1099.2831250688623, 1, 136.63657704161673, 2], [1329.5727663321347, 1098.5965015358986, 1, 136.63657704161673, 2], [1328.845753179585, 1097.9098780029349, 1, 136.63657704161673, 2], [1328.1187400270353, 1097.2232544699712, 1, 136.63657704161673, 2], [1327.3917268744856, 1096.5366309370074, 1, 136.63657704161673, 2], [1326.6647137219359, 1095.8500074040437, 1, 136.63657704161673, 2]]"
