car,time,circuit,goals_crossed,racing_line
5,0.19399999999995998,1.0,0.0,"[[1100.0068278115903, 1290.8833423634328, 1, 173.30075576600638, [7.902762784127649e-26, 7.902762784127649e-26, -1.0, -0.45789780051274553]], [1095.0409668695418, 1290.3000541805966, 5, 173.30075576600638, [0.010321268173247116, 3.4787846319425074e-05, -0.9999999981587321, 0.9947469981901732]], [1090.0492615834276, 1290.587940159033, 5, 183.30075576600638, [0.007769735527322391, 3.4787846319425074e-05, -0.9999999988208335]], [1081.0641920684222, 1291.1061349202187, 9, 183.30075576600638, [0.0014071540466364064, 3.4787846319425074e-05, -0.9999999999002536, 0.9955649993452228]], [1072.3056095246477, 1293.1766980860962, 9, 193.30075576600638, [0.0005658292644418835, 3.4787846319425074e-05, -0.999999999969904]], [1059.6543236280845, 1296.167511547919, 13, 193.30075576600638, [2.1676915458320797e-05, 3.4787846319425074e-05, -0.9999999999993394, 0.996666559345917]]]"
13,0.19399999999995998,1.0,0.0,"[[1100.1066226849603, 1290.5506927855324, 1, 153.30075576600638, [7.537945724334795e-18, 0.9999991724195995, -0.6818145348926565, 0.0]], [1095.639736109762, 1288.3041567131947, 5, 153.30075576600638, [0.08542056449241849, 0.9999977726617113, -1.0, 16.850656846154827]], [1091.6308184737052, 1285.316083858107, 5, 143.30075576600638, [0.018395558498624655, 0.9999977726617113, -1.0]], [1084.414766728803, 1279.937552718949, 9, 143.30075576600638, [8.499850024007955e-26, 0.9999977726617113, -1.0, 30.264026107579003]], [1078.2423151551257, 1273.387679317836, 9, 133.30075576600638, [7.902762784127649e-26, 0.9999977726617113, -1.0]], [1069.3265517709249, 1263.9267510717839, 13, 133.30075576600638, [7.902762784127649e-26, 0.9999977726617113, -1.0, 73.36353190417601]]]"
14,0.19399999999995998,1.0,0.0,"[[1100.1066226849603, 1290.5506927855324, 1, 153.30075576600638, [7.537945724334795e-18, 0.9999994761025724, -0.9667043429229663, 0.0]], [1095.639736109762, 1288.3041567131947, 5, 153.30075576600638, [0.830004997906646, 0.9999993616969103, -1.0, 5.02065002223402]], [1091.6308184737052, 1285.316083858107, 5, 143.30075576600638, [0.03028590942521101, 0.9999993616969103, -1.0]], [1084.414766728803, 1279.937552718949, 9, 143.30075576600638, [7.902762784127649e-26, 0.9999993616969103, -1.0, 13.38850009109661]], [1078.2423151551257, 1273.387679317836, 9, 133.30075576600638, [7.902762784127649e-26, 0.9999993616969103, -1.0]], [1069.3265517709249, 1263.9267510717839, 13, 133.30075576600638, [7.902762784127649e-26, 0.9999993616969103, -1.0, 36.016153123413815]]]"
19,0.19399999999995998,1.0,0.0,"[[1096.2108685738942, 1289.5632605721682, 5, 163.30075576600638, [0.001038479985456147, 0.0, 3.387400345190675e-10, 0.9974441964009437]], [1091.2450076318457, 1288.979972389332, 5, 173.30075576600638, [0.001038479985456147, 0.0, 3.387400345190675e-10]], [1082.3064579361583, 1287.9300536602266, 9, 173.30075576600638, [0.001038479985456147, 0.0, 3.387400345190675e-10, 0.9974441964009437]], [1073.321388421153, 1288.4482484214122, 9, 183.30075576600638, [4.7455495490184016e-06, 0.0, 7.902762784127649e-26]], [1060.3429546772563, 1289.1967519653472, 13, 183.30075576600638, [4.4427412188473086e-08, 0.0, 7.902762784127649e-26, 0.9999967769360758]], [1047.6916687806931, 1292.18756542717, 13, 193.30075576600638, [1.135910032378731e-10, 0.0, 7.902762784127649e-26]]]"
20,0.19399999999995998,1.0,0.0,"[[1100.0068278115903, 1290.8833423634328, 1, 173.30075576600638, [0.09951521907502772, 0.0, 2.3696991560735694e-10, -0.745973189388579]], [1095.0409668695418, 1290.3000541805966, 5, 173.30075576600638, [2.9017347853146395e-10, 0.0, 8.211086890776938e-13, 1.0]], [1090.0492615834276, 1290.587940159033, 5, 183.30075576600638, [6.38379519850166e-10, 0.0, 1.0421699715797713e-12]], [1081.0641920684222, 1291.1061349202187, 9, 183.30075576600638, [2.5841367280130654e-05, 0.0, 2.3319410701759635e-11, 1.0]], [1072.3056095246477, 1293.1766980860962, 9, 193.30075576600638, [8.750589539367915e-05, 0.0, 3.294188379260938e-11]], [1059.6543236280845, 1296.167511547919, 13, 193.30075576600638, [0.005682644488905531, 0.0, 1.0560394773643757e-10, 0.9999999999990768]]]"
8,0.22100000000000364,1.0,0.0,"[[1100.0421737147788, 1290.7126521144337, 1, 163.30075576600638, [0.8799398454833134, -16.11809565095832, 1.7620240045035023, 1.5122071378396214]], [1095.253042288673, 1289.275912686602, 5, 163.30075576600638, [-0.9999079153495171, 0.657801779138947, 0.0, 1.4534283169975315]], [1090.7861557134747, 1287.0293766142643, 5, 153.30075576600638, [-0.9999079153495171, 0.657801779138947, 0.0]], [1082.745759878118, 1282.9856116840565, 9, 153.30075576600638, [-0.9999079153495171, 0.657801779138947, 0.0, 1.4534283169975315]], [1075.5297081332158, 1277.6070805448985, 9, 143.30075576600638, [-0.9998959453265294, 0.6446410841084925, 0.0]], [1065.106522279468, 1269.8380911216702, 13, 143.30075576600638, [-0.9992141492458568, 0.39720492917932704, 0.0, 1.4633244123184324]], [1057.8904705345658, 1264.4595599825122, 9, 143.30075576600638, [0.5889864702095375, -16.11809565095832, 1.511074719008037, 1.5057520031375535]]]"
12,0.24699999999995725,1.0,1.0,"[[1100.1066226849603, 1290.5506927855324, 1, 153.30075576600638, [4.9787378622979136e-08, 0.9999676685584009, -0.9667043429229663, 0.0]], [1095.639736109762, 1288.3041567131947, 5, 153.30075576600638, [0.9999999999999509, 0.9999454464647323, -0.9999999999999837, 10.118202609765497]], [1090.8506046836562, 1286.867417285363, 5, 163.30075576600638, [0.9999999999999991, 0.9999355424131942, -0.9999999999999984]], [1082.230168116666, 1284.2812863152658, 9, 163.30075576600638, [1.0, 0.9999355424131942, -1.0, 18.0670803323254]], [1073.2916184209785, 1283.2313675861603, 9, 173.30075576600638, [1.0, 0.9999355243966642, -1.0]], [1060.3803799716522, 1281.7148183107859, 13, 173.30075576600638, [0.9999999999965077, 0.9999355243966642, -0.9999999999997918, 9.064990264017641]], [1047.4019462277556, 1282.4633218547208, 13, 183.30075576600638, [0.9999999999761684, 0.9999355243680793, -0.999999999999344]], [1030.4301482549677, 1283.442134181405, 17, 183.30075576600638, [0.9992275714527322, 0.9999355243680793, -0.999999979786148, 3.991316579689367]]]"
21,0.24699999999995725,1.0,1.0,"[[1100.1066226849603, 1290.5506927855324, 1, 153.30075576600638, [0.0004613113790465357, 0.7000993759540666, 0.0, 0.023341829845701878]], [1095.639736109762, 1288.3041567131947, 5, 153.30075576600638, [8.75651076269652e-27, 0.0, 0.0, 7.902762784127649e-26]], [1090.8506046836562, 1286.867417285363, 5, 163.30075576600638, [8.75651076269652e-27, 0.0, 0.0]], [1082.230168116666, 1284.2812863152658, 9, 163.30075576600638, [8.75651076269652e-27, 0.0, 0.0, 7.902762784127649e-26]], [1073.2916184209785, 1283.2313675861603, 9, 173.30075576600638, [8.75651076269652e-27, 0.0, 0.0]], [1060.3803799716522, 1281.7148183107859, 13, 173.30075576600638, [8.75651076269652e-27, 0.0, 0.0, 7.902762784127649e-26]], [1047.4019462277556, 1282.4633218547208, 13, 183.30075576600638, [8.75651076269652e-27, 0.0, 0.0]], [1030.4301482549677, 1283.442134181405, 17, 183.30075576600638, [8.75651076269652e-27, 0.0, 0.0, 7.902762784127649e-26]]]"
31,0.41699999999997317,1.0,0.0,"[[1100.0068278115903, 1290.8833423634328, 1, 173.30075576600638, [0.9846514213909741, 0.7130157334840921, -0.9999457111736885, 0.00015829099581714736]], [1099.0084867543674, 1290.9409195591202, 1, 183.30075576600638, [0.0034069600514282697, -1.0, 0.00015829099581714736]], [1098.0353109161701, 1291.1709821331065, 1, 193.30075576600638, [0.0034069600514282697, -0.9582141589068067, 0.00015829099581714736]], [1097.1168697523915, 1291.5665397504986, 1, 203.30075576600638, [0.0034069600514282697, -0.9582141589068067, 0.00015829099581714736]], [1096.1984285886128, 1291.9620973678907, 1, 203.30075576600638, [7.902762784127649e-26, -0.9582141589068067, 0.00015829099581714736]], [1095.3626284692605, 1292.511131210646, 1, 213.30075576600638, [0.9896552616222971, 7.902762784127649e-26, -0.9582141589068067, 0.00015829099581714736]], [1094.526828349908, 1293.0601650534013, 1, 213.30075576600638, [7.902762784127649e-26, -0.9582141589068067, 0.00015829099581714736]], [1093.7990646386734, 1293.7459930060322, 1, 223.30075576600638, [0.9896552616222971, 7.902762784127649e-26, -0.9582141589068067, 0.00015829099581714736]], [1093.2014500676557, 1294.5477765332437, 1, 233.30075576600638, [0.0034069600514282697, -0.9582141589068067, 0.00015829099581714736]], [1092.7521428531882, 1295.4411538482834, 1, 243.30075576600638, [0.0034069600514282697, -0.9582141589068067, 0.00015829099581714736]], [1092.4647949676219, 1296.3989801335047, 1, 253.30075576600638, [0.0034069600514282697, -0.9582141589068067, 0.00015829099581714736]], [1092.3481373310547, 1297.3921523219144, 1, 263.3007557660064, [0.0034069600514282697, -0.9582141589068067, 0.00015829099581714736]], [1092.405714526742, 1298.3904933791373, 1, 273.3007557660064, [0.0034069600514282697, -0.9582141589068067, 0.00015829099581714736]], [1092.6357771007283, 1299.3636692173345, 1, 283.3007557660064, [0.0034069600514282697, -0.9582141589068067, 0.00015829099581714736]]]"
6,0.44299999999998363,1.0,0.0,"[[1100.0421737147788, 1290.7126521144337, 1, 163.30075576600638, [-0.9469682608307155, 1.1392809663639364e-08, 0.6585975894874555, 0.1271530052035864]], [1099.049001526369, 1290.5959944778665, 1, 173.30075576600638, [0.9938181321702454, 0.31644639475001657, 0.002140898870790302, 0.05562579976457118]], [1098.0506604691461, 1290.6535716735539, 1, 183.30075576600638, [0.3164466619228853, 0.002140898870790302, 0.05562578666411169]], [1097.077484630949, 1290.8836342475402, 1, 193.30075576600638, [0.3164466765276812, 0.002140898870790302, 0.05562578594798559]], [1096.1590434671702, 1291.2791918649323, 1, 203.30075576600638, [0.31644667652843955, 0.002140898870790302, 0.05562578594794841]], [1095.3232433478179, 1291.8282257076876, 1, 213.30075576600638, [0.31644667652843955, 0.002140898870790302, 0.05562578594794841]], [1094.5954796365831, 1292.5140536603185, 1, 223.30075576600638, [0.31644667652843955, 0.002140898870790302, 0.05562578594794841]], [1093.9978650655655, 1293.31583718753, 1, 233.30075576600638, [0.31644667652843955, 0.002140898870790302, 0.05562578594794841]], [1093.548557851098, 1294.2092145025697, 1, 243.30075576600638, [0.31644667577138336, 0.002140898870790302, 0.0556257859850696]], [1093.2612099655316, 1295.167040787791, 1, 253.30075576600638, [0.3164320967017511, 0.002140898870790302, 0.055626500862831246]], [1093.1445523289644, 1296.1602129762007, 1, 263.3007557660064, [0.31442889992564416, 0.002140898870790302, 0.05572497711295881]], [1093.2021295246518, 1297.1585540334236, 1, 273.3007557660064, [0.2794608922434394, 0.002140898870790302, 0.05753134461780098]], [1093.2597067203392, 1298.1568950906465, 1, 273.3007557660064, [0.02819428349579001, 0.002140898870790302, 0.08881545459150286]], [1093.4897692943255, 1299.1300709288437, 1, 283.3007557660064, [0.9287653184098107, 0.02819428349579001, 0.002140898870790302, 0.08881545459150286]], [1094.6400821642574, 1303.9959501198296, 5, 283.3007557660064, [-0.8370282752857316, 6.50506218365327e-07, 0.002140898870790302, 0.22345497669787545]]]"
