car,time,circuit,goals_crossed,racing_line
0,0.006000000000000227,71.0,0.0,"[[2003, 394.68599502056327, 1, 161.69924423399362, [0.03253601571710599, -16.11809565095832, 0.0, 1.0019624142947268e-09]]]"
1,0.006000000000000227,71.0,0.0,"[[2003, 394.52590017696497, 1, 151.69924423399362, [0.0, 0.014161256688272563, 2.29522189894146, 3.3747395258740303e-08]]]"
2,0.006000000000000227,71.0,0.0,"[[2003, 394.52590017696497, 1, 151.69924423399362, [0.0, 0.3492227302735245, 3.248255990406025, 0.19731563573641953]]]"
3,0.006000000000000227,71.0,0.0,"[[2003, 394.3802106165835, 1, 141.69924423399362, [0.0, 4.359294064480536e-05, 0.0, 0.0]]]"
4,0.006000000000000227,71.0,0.0,"[[2003, 394.52590017696497, 1, 151.69924423399362, [0.0, 6.65220938963291e-05, 0.5922090064714236, 0.0]]]"
5,0.006000000000000227,71.0,0.0,"[[2003, 394.3802106165835, 1, 141.69924423399362, [0.0, 0.00085549408162909, 0.0, 0.0]]]"
6,0.006000000000000227,71.0,0.0,"[[2003, 394.68599502056327, 1, 161.69924423399362, [0.0, 0.0, 0.0, 0.0]]]"
7,0.006000000000000227,71.0,0.0,"[[2003, 394.68599502056327, 1, 161.69924423399362, [1.1581968773619518, -16.11809565095832, 0.0, 2.2048763125035447e-09]]]"
8,0.006000000000000227,71.0,0.0,"[[2003, 394.52590017696497, 1, 151.69924423399362, [0.14511738811346417, -16.11809565095832, 0.9576050950394214, 0.0031352466651016282]]]"
9,0.006000000000000227,71.0,0.0,"[[2003, 394.68599502056327, 1, 161.69924423399362, [2.5538810123739917, -3.3858856378806603, 0.0, 2.130120837399833e-10]]]"
10,0.006000000000000227,71.0,0.0,"[[2003, 394.68599502056327, 1, 161.69924423399362, [0.0, 0.0, 0.0, 0.0]]]"
11,0.006000000000000227,71.0,0.0,"[[2003, 394.68599502056327, 1, 161.69924423399362, [0.2992787526296563, -16.11809565095832, 0.0, 3.9332677189733585e-08]]]"
12,0.006000000000000227,71.0,0.0,"[[2003, 394.68599502056327, 1, 161.69924423399362, [2.0198508831731714, 1.0585875011804724e-06, 0.9998422712363924, 2.3885645114334047e-06]]]"
13,0.006000000000000227,71.0,0.0,"[[2003, 394.68599502056327, 1, 161.69924423399362, [0.0, -16.11809565095832, 0.0, 0.0]]]"
14,0.006000000000000227,71.0,0.0,"[[2003, 394.3802106165835, 1, 141.69924423399362, [-16.11809565095832, 0.4606038091287298, 0.0, -0.9999999999989554]]]"
15,0.006000000000000227,71.0,0.0,"[[2003, 394.52590017696497, 1, 151.69924423399362, [0.0, 3.209688780817755e-07, 1.8948327084442445, 1.4054010812389856e-07]]]"
16,0.006000000000000227,71.0,0.0,"[[2003, 394.68599502056327, 1, 161.69924423399362, [0.0, 0.0, 0.0, 0.0]]]"
17,0.006000000000000227,71.0,0.0,"[[2003, 394.52590017696497, 1, 151.69924423399362, [0.0, 0.00019054633343901196, 1.9291201761253884, 8.439893802812181e-05]]]"
18,0.006000000000000227,71.0,0.0,"[[2003, 394.52590017696497, 1, 151.69924423399362, [0.0, 0.004715145758697324, 0.19901712182998987, 1.7481070708622225e-11]]]"
19,0.006000000000000227,71.0,0.0,"[[2003, 394.68599502056327, 1, 161.69924423399362, [0.4106288272762477, -16.11809565095832, 0.0, 0.056164580982456025]]]"
20,0.006000000000000227,71.0,0.0,"[[2003, 394.68599502056327, 1, 161.69924423399362, [0.0, 0.0, 0.0, 0.0]]]"
21,0.006000000000000227,71.0,0.0,"[[2003, 394.68599502056327, 1, 161.69924423399362, [0.0, 0.0, 0.0, 0.0]]]"
22,0.006000000000000227,71.0,0.0,"[[2003, 394.68599502056327, 1, 161.69924423399362, [0.0, 0.0, 0.0, 0.0]]]"
23,0.006000000000000227,71.0,0.0,"[[2003, 394.68599502056327, 1, 161.69924423399362, [0.0, 0.0, 0.0, 0.0]]]"
24,0.006000000000000227,71.0,0.0,"[[2003, 394.68599502056327, 1, 161.69924423399362, [0.0, 0.0, 0.0, 0.0]]]"
25,0.006000000000000227,71.0,0.0,"[[2003, 394.68599502056327, 1, 161.69924423399362, [0.0, 0.0, 0.0, 0.0]]]"
26,0.006000000000000227,71.0,0.0,"[[2003, 394.68599502056327, 1, 161.69924423399362, [0.0, 0.0, 0.0, 0.0]]]"
27,0.006000000000000227,71.0,0.0,"[[2003, 394.68599502056327, 1, 161.69924423399362, [0.06519793012334936, 0.0, 0.0, 0.0]]]"
28,0.006000000000000227,71.0,0.0,"[[2003, 394.68599502056327, 1, 161.69924423399362, [0.0, 0.0, 0.0, 0.0]]]"
29,0.006000000000000227,71.0,0.0,"[[2003, 394.68599502056327, 1, 161.69924423399362, [0.0, 0.0, 0.0, 0.0]]]"
