car,time,circuit,goals_crossed,racing_line
0,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.0, 0.0, 0.0, 0.0]]]"
1,0.0049999999999954525,71.0,0.0,"[[2003, 405.286288786097, 1, 134.46232220802563, [-2.039636192689958, 0.0, 0.0, 0.0]]]"
2,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.09164520528490448, 0.0, 0.0, 0.0]]]"
3,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.0, 0.0, 0.0, 0.0]]]"
4,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.9837912746158864, 0.0, 0.0, 0.0]]]"
5,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.0, 0.0, 0.0, 0.0]]]"
6,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.5343695614630737, 0.0, 0.0, 0.0]]]"
7,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.0, 0.0, 0.0, 0.0]]]"
8,0.0049999999999954525,71.0,0.0,"[[2003, 403.09380903140453, 5, 144.46232220802563, [0.0, 0.0, 0.0, 0.001943232956961503]]]"
9,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.0, 0.0, 0.0, 0.0]]]"
10,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.0, 0.0, 0.0, 0.0]]]"
11,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.0, 0.0, 0.0, 0.0]]]"
12,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.0, 0.0, 0.0, 0.0]]]"
13,0.0049999999999954525,71.0,0.0,"[[2003, 403.09380903140453, 5, 144.46232220802563, [0.0, 0.0, 0.0, 0.574302844002423]]]"
14,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.0, 0.0, 0.0, 0.0]]]"
15,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.0, 0.0, 0.0, 0.0]]]"
16,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.04578234892989821, 0.0, 0.0, 0.0]]]"
17,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.04578234892989821, 0.0, 0.0, 0.0]]]"
18,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.04578234892989821, 0.0, 0.0, 0.0]]]"
19,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.04578234892989821, 0.0, 0.0, 0.0]]]"
20,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.0, 0.0, 0.0, 0.0]]]"
21,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.0, 0.0, 0.0, 0.0]]]"
22,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.31094909635526885, 0.0, 0.0, 0.0]]]"
23,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.0, 0.0, 0.0, 0.0]]]"
24,0.0049999999999954525,71.0,0.0,"[[2003, 405.4187618062809, 1, 144.46232220802563, [0.0, 0.0, 0.9999328826324826, 0.0]]]"
25,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.0, 0.0, 0.0, 0.0]]]"
26,0.0049999999999954525,71.0,0.0,"[[2003, 403.09380903140453, 5, 144.46232220802563, [0.0, 0.0, 0.0, 0.08047760529771228]]]"
27,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.0, 0.0, 0.0, 0.0]]]"
28,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.0, 0.0, 0.0, 0.0]]]"
29,0.0049999999999954525,71.0,0.0,"[[2003, 405.4187618062809, 1, 144.46232220802563, [0.0, 0.0, 0.9898455401527021, 0.0]]]"
30,0.0049999999999954525,71.0,0.0,"[[2003, 405.4187618062809, 1, 144.46232220802563, [0.0, 0.0, 6.72555324675941e-07, 0.0]]]"
31,0.0049999999999954525,71.0,0.0,"[[2003, 405.56889545486024, 1, 154.46232220802563, [0.0, 0.0, 0.0, 0.0]]]"
